Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45539234	P08.1	Other heavy for gestational age infants	ICD10 code	Condition	ICD10	Valid	Non-standard
"45544053	P08.2	Post-term infant, not heavy for gestational age	ICD10 code	Condition	ICD10	Valid	Non-standard"
45563205	P05.0	Light for gestational age	ICD10 code	Condition	ICD10	Valid	Non-standard
45572924	P05.1	Small for gestational age	ICD10 code	Condition	ICD10	Valid	Non-standard
45587410	P05.2	Fetal malnutrition without mention of light or small for gestational age	ICD10 code	Condition	ICD10	Valid	Non-standard
1571973	P05.0	Newborn light for gestational age	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1571974	P05.1	Newborn small for gestational age	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
"1571981	P08.2	Late newborn, not heavy for gestational age	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard"
35210438	P05.2	Newborn affected by fetal (intrauterine) malnutrition not light or small for gestational age	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35210441	P08.1	Other heavy for gestational age newborn	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"37201014	P05.09	Newborn light for gestational age, 2500 grams and over	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"37201015	P05.19	Newborn small for gestational age, other	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45534330	P05.07	Newborn light for gestational age, 1750-1999 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45534331	P05.10	Newborn small for gestational age, unspecified weight	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45539232	P05.06	Newborn light for gestational age, 1500-1749 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45539233	P07.26	Extreme immaturity of newborn, gestational age 27 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45544050	P05.16	Newborn small for gestational age, 1500-1749 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45548860	P07.23	Extreme immaturity of newborn, gestational age 24 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45548861	P07.24	Extreme immaturity of newborn, gestational age 25 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45553630	P07.39	Preterm newborn, gestational age 36 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45558358	P05.05	Newborn light for gestational age, 1250-1499 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45563206	P05.04	Newborn light for gestational age, 1000-1249 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45563207	P05.11	Newborn small for gestational age, less than 500 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45563208	P05.12	Newborn small for gestational age, 500-749 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45568016	P05.01	Newborn light for gestational age, less than 500 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45568017	P05.14	Newborn small for gestational age, 1000-1249 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45572925	P05.17	Newborn small for gestational age, 1750-1999 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45572927	P07.37	Preterm newborn, gestational age 34 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45572928	P07.38	Preterm newborn, gestational age 35 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45577687	P05.02	Newborn light for gestational age, 500-749 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45577690	P07.35	Preterm newborn, gestational age 32 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45582610	P07.33	Preterm newborn, gestational age 30 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45587408	P05.00	Newborn light for gestational age, unspecified weight	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45587409	P05.18	Newborn small for gestational age, 2000-2499 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45587411	P07.34	Preterm newborn, gestational age 31 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45587412	P07.36	Preterm newborn, gestational age 33 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45592324	P05.08	Newborn light for gestational age, 2000-2499 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45597063	P05.15	Newborn small for gestational age, 1250-1499 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45597066	P07.21	Extreme immaturity of newborn, gestational age less than 23 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45601918	P05.13	Newborn small for gestational age, 750-999 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45601920	P07.22	Extreme immaturity of newborn, gestational age 23 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45601921	P07.25	Extreme immaturity of newborn, gestational age 26 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45601922	P07.31	Preterm newborn, gestational age 28 completed weeks	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"45606685	P05.03	Newborn light for gestational age, 750-999 grams	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
