Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
4001047	119247004	Hypoalbuminemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4007111	207290003	[D]Abnormality of albumin	Context-dependent	Condition	SNOMED	Invalid	Non-standard
4042048	166783005	Serum albumin normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4057005	167964001	Pleural fluid albumin raised	Clinical Finding	Condition	SNOMED	Valid	Standard
4061172	21367009	Autosomal dominant variant form of albumin	Clinical Finding	Condition	SNOMED	Valid	Standard
4078277	275795003	Albumin in sample	Clinical Finding	Condition	SNOMED	Valid	Standard
4132557	127354003	Increased albumin	Clinical Finding	Condition	SNOMED	Valid	Standard
4133722	127353009	Abnormal structure of albumin	Clinical Finding	Condition	SNOMED	Valid	Standard
4133723	127355002	Decreased albumin	Clinical Finding	Condition	SNOMED	Valid	Standard
4166149	274886005	Abnormality of albumin	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4275213	365801005	Albumin level - finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4325125	71628007	Abnormal presence of albumin	Clinical Finding	Condition	SNOMED	Valid	Standard
40312201	145192000	Pleural fluid albumin raised	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40328999	166784004	Serum albumin low	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
44813697	499761000000103	[D]Abnormality of albumin	Context-dependent	Condition	SNOMED	Invalid	Non-standard
3562031	3095501000001106	Urine albumin test strip	Context-dependent	Device	SNOMED	Invalid	Non-standard
4031617	109145005	Albumin test kit	Physical Object	Device	SNOMED	Valid	Standard
4132033	412139009	Bovine serum albumin	Substance	Device	SNOMED	Valid	Standard
42687704	34267311000001103	Perflutren-containing microspheres of heat treated human albumin	Substance	Device	SNOMED	Valid	Standard
"2212093	80053	Comprehensive metabolic panel This panel must include the following: Albumin (82040) Bilirubin, total (82247) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphatase, alkaline (84075)...	CPT4	Measurement	CPT4	Valid	Standard"
"2212096	80069	Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodiu...	CPT4	Measurement	CPT4	Valid	Standard"
"2212099	80076	Hepatic function panel This panel must include the following: Albumin (82040) Bilirubin, total (82247) Bilirubin, direct (82248) Phosphatase, alkaline (84075) Protein, total (84155) Transferase, alanine amino (ALT) (SGPT) (84460) Transferase, aspartate...	CPT4	Measurement	CPT4	Valid	Standard"
"2212186	82040	Albumin; serum, plasma or whole blood	CPT4	Measurement	CPT4	Valid	Standard"
"2212187	82042	Albumin; other source, quantitative, each specimen	CPT4	Measurement	CPT4	Valid	Standard"
