Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
4031619	109154008	Blood urea nitrogen test kit	Physical Object	Device	SNOMED	Valid	Standard
"2212096	80069	Renal function panel This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodiu...	CPT4	Measurement	CPT4	Valid	Standard"
2212611	84520	Urea nitrogen; quantitative	CPT4	Measurement	CPT4	Valid	Standard
"2212612	84525	Urea nitrogen; semiquantitative (eg, reagent strip test)	CPT4	Measurement	CPT4	Valid	Standard"
"2212614	84545	Urea nitrogen, clearance	CPT4	Measurement	CPT4	Valid	Standard"
1001975	94003-1	Urea nitrogen [Mass/volume] in Serum or Plasma --1 hour post dose vasopressin	Lab Test	Measurement	LOINC	Valid	Standard
1002034	94012-2	Urea nitrogen [Mass/volume] in Serum or Plasma --2 hours post dose vasopressin	Lab Test	Measurement	LOINC	Valid	Standard
1002357	93975-1	Urea nitrogen [Mass/volume] in Serum or Plasma --1 hour specimen	Lab Test	Measurement	LOINC	Valid	Standard
3000505	12977-5	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --8th specimen	Lab Test	Measurement	LOINC	Valid	Standard
3002669	12979-1	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --24 hour specimen	Lab Test	Measurement	LOINC	Valid	Standard
3003761	12978-3	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --7th specimen	Lab Test	Measurement	LOINC	Valid	Standard
3004295	6299-2	Urea nitrogen [Mass/volume] in Blood	Lab Test	Measurement	LOINC	Valid	Standard
3004717	14394-1	Urea nitrogen [Mass/volume] in Pleural fluid	Lab Test	Measurement	LOINC	Valid	Standard
3005763	12266-3	Urea nitrogen [Mass/volume] in Peritoneal fluid --2 hours post peritoneal dialysis	Lab Test	Measurement	LOINC	Valid	Standard
3006152	24465-7	Urea nitrogen [Mass/time] in 12 hour Urine	Lab Test	Measurement	LOINC	Valid	Standard
3006601	5918-8	Urea nitrogen [Mass/volume] in Dialysis fluid	Lab Test	Measurement	LOINC	Valid	Standard
3006710	14396-6	Urea nitrogen [Mass/volume] in Synovial fluid	Lab Test	Measurement	LOINC	Valid	Standard
3006866	12265-5	Urea nitrogen [Mass/volume] in Peritoneal fluid	Lab Test	Measurement	LOINC	Valid	Standard
3007802	14395-8	Deprecated Urea nitrogen [Mass/volume] in Peritoneal fluid	Lab Test	Measurement	LOINC	Invalid	Non-standard
3009585	12965-0	Urea nitrogen [Mass/volume] in Serum or Plasma --70 minute specimen	Lab Test	Measurement	LOINC	Valid	Standard
3009808	12966-8	Urea nitrogen [Mass/volume] in Serum or Plasma --2 hour specimen	Lab Test	Measurement	LOINC	Valid	Standard
3010253	12971-8	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --4 hour dwell specimen	Lab Test	Measurement	LOINC	Valid	Standard
3010335	12963-5	Urea nitrogen [Mass/volume] in Peripheral blood	Lab Test	Measurement	LOINC	Valid	Standard
3010787	12972-6	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --1st specimen	Lab Test	Measurement	LOINC	Valid	Standard
3011408	14939-3	Urea nitrogen [Moles/time] in 24 hour Urine	Lab Test	Measurement	LOINC	Valid	Standard
3011493	14938-5	Urea nitrogen [Moles/volume] in Urine	Lab Test	Measurement	LOINC	Valid	Standard
3011599	17758-4	Urea nitrogen [Mass/volume] in Vitreous fluid	Lab Test	Measurement	LOINC	Valid	Standard
3011965	3095-7	Urea nitrogen [Mass/volume] in Urine	Lab Test	Measurement	LOINC	Valid	Standard
3013067	17757-6	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid	Lab Test	Measurement	LOINC	Valid	Standard
3013682	3094-0	Urea nitrogen [Mass/volume] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3014788	13821-4	Urea nitrogen/Creatinine [Mass Ratio] in 24 hour Urine	Lab Test	Measurement	LOINC	Valid	Standard
3015608	12967-6	Urea nitrogen [Mass/volume] in 24 hour Urine	Lab Test	Measurement	LOINC	Valid	Standard
3016219	12973-4	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --4th specimen	Lab Test	Measurement	LOINC	Valid	Standard
3016857	17759-2	Urea nitrogen [Mass/volume] in Arterial blood --post dialysis	Lab Test	Measurement	LOINC	Valid	Standard
3017116	13506-1	Urea nitrogen renal clearance in Urine and Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3017457	3096-5	Urea nitrogen [Mass/time] in 24 hour Urine	Lab Test	Measurement	LOINC	Valid	Standard
3017870	14393-3	Urea nitrogen [Mass/volume] in Amniotic fluid	Lab Test	Measurement	LOINC	Valid	Standard
3018311	3097-3	Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3018987	12968-4	Urea nitrogen [Mass/volume] in Dialysis fluid --4 hour specimen	Lab Test	Measurement	LOINC	Valid	Standard
3019246	12981-7	Urea nitrogen [Mass Ratio] in Peritoneal dialysis fluid --post dialysis/pre dialysis	Lab Test	Measurement	LOINC	Valid	Standard
3019930	3093-2	Urea nitrogen [Mass/volume] in Body fluid	Lab Test	Measurement	LOINC	Valid	Standard
3021913	12974-2	Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid --3rd specimen	Lab Test	Measurement	LOINC	Valid	Standard
