Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45553675	Q33.4	Congenital bronchiectasis	ICD10 code	Condition	ICD10	Valid	Non-standard
45605889	J47	Bronchiectasis	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
1569492	J47	Bronchiectasis	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35210885	Q33.4	Congenital bronchiectasis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
45562458	J47.0	Bronchiectasis with acute lower respiratory infection	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"45562459	J47.9	Bronchiectasis, uncomplicated	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
45572172	J47.1	Bronchiectasis with (acute) exacerbation	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"1403135	A15.006	Tuberculosis, bronchiectasis, sputum microscopy () (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403147	A15.106	Tuberculosis, bronchiectasis, sputum culture () (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403158	A15.206	Tuberculosis, bronchiectasis, pathology () (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403169	A15.306	Tuberculosis, bronchiectasis confirmed () (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403237	A16.005	Tuberculosis, bronchiectasis, sputum microscopy (-) (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403248	A16.015	Tuberculosis, bronchiectasis, sputum culture (-) (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403258	A16.025	Tuberculosis, bronchiectasis, Pathology (-) (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403267	A16.034	Tuberculosis, bronchiectasis, cytology (histology) (-) (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1403278	A16.105	Tuberculosis, bronchiectasis, bacteriological and histological examination not done (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
