Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
4050907	124338008	Deficiency of creatine kinase	Clinical Finding	Condition	SNOMED	Valid	Standard
4161804	398137007	Finding of creatine kinase level	Clinical Finding	Condition	SNOMED	Valid	Standard
4217891	397938004	Finding of plasma creatine kinase level	Clinical Finding	Condition	SNOMED	Valid	Standard
4220017	398000003	Finding of serum creatine kinase level	Clinical Finding	Condition	SNOMED	Valid	Standard
4335393	432352001	Increased creatine kinase level	Clinical Finding	Condition	SNOMED	Valid	Standard
40315389	143987004	Serum creatine kinase level	Procedure	Condition	SNOMED	Invalid	Non-standard
40494653	29525002	Creatine kinase measurement	Procedure	Condition	SNOMED	Invalid	Non-standard
40516044	313851000	Serum creatine kinase measurement	Procedure	Condition	SNOMED	Invalid	Non-standard
"2212290	82550	Creatine kinase (CK), (CPK); total	CPT4	Measurement	CPT4	Valid	Standard"
"2212291	82552	Creatine kinase (CK), (CPK); isoenzymes	CPT4	Measurement	CPT4	Valid	Standard"
"2212292	82553	Creatine kinase (CK), (CPK); MB fraction only	CPT4	Measurement	CPT4	Valid	Standard"
"2212293	82554	Creatine kinase (CK), (CPK); isoforms	CPT4	Measurement	CPT4	Valid	Standard"
"45887633	1011368	Creatine kinase (CK), (CPK)	CPT4 Hierarchy	Measurement	CPT4	Valid	Classification"
3007220	2157-6	Creatine kinase [Enzymatic activity/volume] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3008318	2156-8	Creatine kinase [Enzymatic activity/volume] in Amniotic fluid	Lab Test	Measurement	LOINC	Valid	Standard
3014152	2151-9	Creatine kinase [Enzymatic activity/volume] in Cerebral spinal fluid	Lab Test	Measurement	LOINC	Valid	Standard
3015620	24335-2	Creatine kinase panel - Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3017761	5912-1	Creatine kinase isoenzymes [Interpretation] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3023980	16688-4	Creatine kinase [Enzymatic activity/volume] in Body fluid	Lab Test	Measurement	LOINC	Valid	Standard
3030170	50756-6	Creatine kinase [Mass/volume] in Blood	Lab Test	Measurement	LOINC	Invalid	Non-standard
3036604	14680-3	Creatine kinase isoenzymes [Interpretation] in Serum or Plasma by Electrophoresis	Lab Test	Measurement	LOINC	Valid	Standard
3040014	53433-9	Creatine kinase [Enzymatic activity/volume] in Dialysis fluid	Lab Test	Measurement	LOINC	Valid	Standard
3044863	33547-1	Creatine Kinase aberrant band/Creatine kinase.total in Serum or Plasma by Electrophoresis	Lab Test	Measurement	LOINC	Valid	Standard
3044881	34160-2	Creatine kinase [Presence] in Body fluid	Lab Test	Measurement	LOINC	Valid	Standard
3048252	49129-0	Creatine kinase.MiMi/Creatine kinase.total in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3048917	49258-7	Creatine kinase isoenzymes [Interpretation] in Serum or Plasma by Electrophoresis Narrative	Lab Test	Measurement	LOINC	Valid	Standard
3049867	49259-5	Creatine kinase isoenzymes [Interpretation] in Serum or Plasma Narrative	Lab Test	Measurement	LOINC	Valid	Standard
21496728	LP186277-2	Creatine Kinase aberrant band | Bld-Ser-Plas	LOINC Hierarchy	Measurement	LOINC	Invalid	Non-standard
37025234	LP382925-8	Creatine kinase | Cerebral spinal fluid | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37033324	LP382926-6	Creatine kinase | Dialysis fluid | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37044173	LP382924-1	Creatine kinase | Body fluid | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37045914	LP382923-3	Creatine kinase | Blood | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37052220	LP382927-4	Creatine kinase | Serum or Plasma | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37059872	LP382928-2	Creatine kinase isoenzymes | Serum or Plasma | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
