Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45537931	D70.1	Agranulocytosis secondary to cancer chemotherapy	4-char billing code	Condition	ICD10CM	Valid	Non-standard
45597213	R97.1	Elevated cancer antigen 125 [CA 125]	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"1401703	M82101/3	Adenomatous polyps, cancer (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard"
1402018	M80330/6	False sarcoma metastatic cancer (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
"1402019	M82201/3	Familial polyposis, cancer (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard"
1402104	M85700/6	Gonadal cancer metastasis echinoderms (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402184	M85300/6	Inflammatory metastatic cancer (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402192	M85040/6	Intracapsular cancer metastatic (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402215	M80530/6	Inverted papilloma metastatic cancer within (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402358	M84400/6	Metastatic bladder cancer (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402363	M82310/6	Metastatic cancer alone (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402364	M89340/6	Metastatic cancer fibroma (machine translation)	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1405446	C00.001	Lipstick area outside the upper lip cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405447	C00.002	The outer edge of upper lip cancer vermilion (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405456	C00.301	The inner side of the upper lip cheek cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405462	C00.401	The inner side of the cheek lower lip cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405463	C00.402	The inner surface of the lower lip cancer lace (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405465	C00.404	Inner surface of the lower lip surface oral cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405476	C01.x01	Back of tongue cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405482	C02.101	Tongue cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405528	C06.002	Buccal mucosa cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405540	C06.902	Oral cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405546	C08.001	Submandibular gland cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405562	C09.901	Pharyngeal tonsil cancer Gate (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405563	C09.902	Palatine tonsil cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405569	C10.101	Epiglottis edge cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405570	C10.102	Epiglottis folds tongue cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405584	C11.001	Top nasopharyngeal cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405587	C11.101	Adenoid cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405588	C11.102	Pharyngeal tonsil cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405592	C11.202	Pharyngeal recess cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405595	C11.301	Nasopharyngeal cancer end (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405596	C11.302	Choanal cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405599	C11.801	Multi-walled nasopharyngeal cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405602	C11.901	Nasopharyngeal cancer wall (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405610	C13.101	Here pharynx cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405617	C13.901	Hypopharynx cancer wall (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405621	C14.001	Throat cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405622	C14.002	Pharyngeal wall cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405623	C14.003	Pharyngeal cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405643	C15.801	The upper esophagus cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1405644	C15.802	Lower esophagus cancer (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
