Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
"45543858	N18.3	Chronic kidney disease, stage 3	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45553437	N18.2	Chronic kidney disease, stage 2	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45553438	N18.9	Chronic kidney disease, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45582391	N18	Chronic kidney disease	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
"45582392	N18.1	Chronic kidney disease, stage 1	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45582393	N18.4	Chronic kidney disease, stage 4	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45582394	N18.5	Chronic kidney disease, stage 5	ICD10 code	Condition	ICD10	Valid	Non-standard"
"725440	N18.30	Chronic kidney disease, stage 3 unspecified	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"725441	N18.31	Chronic kidney disease, stage 3a	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
"725442	N18.32	Chronic kidney disease, stage 3b	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
1569121	I12	Hypertensive chronic kidney disease	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569122	I13	Hypertensive heart and chronic kidney disease	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569123	I13.1	Hypertensive heart and chronic kidney disease without heart failure	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1571486	N18	Chronic kidney disease (CKD)	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
"1571639	O10.2	Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard"
1571640	O10.21	Pre-existing hypertensive chronic kidney disease complicating pregnancy	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
"1571641	O10.3	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard"
1571642	O10.31	Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35207671	I12.0	Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35207672	I12.9	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35207673	I13.0	Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35207674	I13.2	Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35209274	N18.1	Chronic kidney disease, stage 1	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
