Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45543268	J44	Other chronic obstructive pulmonary disease	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
"45548115	J44.9	Chronic obstructive pulmonary disease, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45586673	J44.8	Other specified chronic obstructive pulmonary disease	ICD10 code	Condition	ICD10	Valid	Non-standard
45601131	J44.0	Chronic obstructive pulmonary disease with acute lower respiratory infection	ICD10 code	Condition	ICD10	Valid	Non-standard
"45601132	J44.1	Chronic obstructive pulmonary disease with acute exacerbation, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
1569487	J44	Other chronic obstructive pulmonary disease	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35208023	J44.0	Chronic obstructive pulmonary disease with (acute) lower respiratory infection	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35208024	J44.1	Chronic obstructive pulmonary disease with (acute) exacerbation	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35208025	J44.9	Chronic obstructive pulmonary disease, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
1415636	J44	Other chronic obstructive pulmonary disease	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1415637	J44.0	Chronic obstructive pulmonary disease with acute lower respiratory infection	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415638	J44.000	Chronic obstructive pulmonary disease with acute lower respiratory infection	ICD10 code	Condition	ICD10CN	Valid	Non-standard
"1415639	J44.1	Chronic obstructive pulmonary disease with acute exacerbation, unspecified	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1415640	J44.100	Chronic obstructive pulmonary disease with acute exacerbation, unspecified	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
1415642	J44.8	Other specified chronic obstructive pulmonary disease	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415643	J44.800	Other specified chronic obstructive pulmonary disease	ICD10 code	Condition	ICD10CN	Valid	Non-standard
