Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45543262	J32.3	Chronic sphenoidal sinusitis	ICD10 code	Condition	ICD10	Valid	Non-standard
45552886	J32.1	Chronic frontal sinusitis	ICD10 code	Condition	ICD10	Valid	Non-standard
45576946	J32.2	Chronic ethmoidal sinusitis	ICD10 code	Condition	ICD10	Valid	Non-standard
45586666	J32	Chronic sinusitis	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45586667	J32.0	Chronic maxillary sinusitis	ICD10 code	Condition	ICD10	Valid	Non-standard
"45596278	J32.9	Chronic sinusitis, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45605886	J32.8	Other chronic sinusitis	ICD10 code	Condition	ICD10	Valid	Non-standard
1569475	J32	Chronic sinusitis	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35207977	J32.0	Chronic maxillary sinusitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35207978	J32.1	Chronic frontal sinusitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35207979	J32.2	Chronic ethmoidal sinusitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35207980	J32.3	Chronic sphenoidal sinusitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35207982	J32.8	Other chronic sinusitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35207983	J32.9	Chronic sinusitis, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
1415373	J32	Chronic sinusitis	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1415374	J32.0	Chronic maxillary sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415375	J32.000	Chronic maxillary sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415381	J32.1	Chronic frontal sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415382	J32.100	Chronic frontal sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415385	J32.2	Chronic ethmoidal sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415386	J32.200	Chronic ethmoidal sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415388	J32.3	Chronic sphenoidal sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415389	J32.300	Chronic sphenoidal sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415394	J32.8	Other chronic sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415395	J32.800	Other chronic sinusitis	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415398	J32.803	Chronic sinusitis and more (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
"1415399	J32.9	Chronic sinusitis, unspecified	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
"1415400	J32.900	Chronic sinusitis, unspecified	ICD10 code	Condition	ICD10CN	Valid	Non-standard"
1415401	J32.901	Chronic purulent sinusitis (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1415402	J32.902	Chronic sinusitis odontogenic (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37085122	J32	Chronic sinusitis	ICD10 Hierarchy	Condition	ICD10GM	Valid	Non-standard
37085123	J32.0	Chronic maxillary sinusitis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37085124	J32.1	Chronic frontal sinusitis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37085125	J32.2	Chronic ethmoidal sinusitis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37085126	J32.3	Chronic sphenoidal sinusitis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37085128	J32.8	Other chronic sinusitis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
"37085129	J32.9	Chronic sinusitis, unspecified	ICD10 code	Condition	ICD10GM	Valid	Non-standard"
44820881	473.2	Chronic ethmoidal sinusitis	4-dig billing code	Condition	ICD9CM	Valid	Non-standard
44823141	473.8	Other chronic sinusitis	4-dig billing code	Condition	ICD9CM	Valid	Non-standard
44824277	473.1	Chronic frontal sinusitis	4-dig billing code	Condition	ICD9CM	Valid	Non-standard
44825461	473.3	Chronic sphenoidal sinusitis	4-dig billing code	Condition	ICD9CM	Valid	Non-standard
44826664	473	Chronic sinusitis	3-dig nonbill code	Condition	ICD9CM	Valid	Non-standard
44833600	473.9	Unspecified sinusitis (chronic)	4-dig billing code	Condition	ICD9CM	Valid	Non-standard
44834765	473.0	Chronic maxillary sinusitis	4-dig billing code	Condition	ICD9CM	Valid	Non-standard
132932	73237007	Chronic ethmoidal sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
134661	38961000	Chronic sphenoidal sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
134668	35923002	Chronic maxillary sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
139841	60130002	Chronic frontal sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
257012	40055000	Chronic sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
3533793	579671000000101	Other chronic sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
3533794	579681000000104	Other chronic sinusitis NOS	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
3535833	611481000000104	Chronic sinusitis NOS	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4051487	232395004	Chronic panethmoidal sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
4051488	232397007	Chronic frontoethmoidal sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
4110494	195791001	Other chronic sinusitis NOS	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4112502	195792008	Chronic sinusitis NOS	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4112532	195789009	Other chronic sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4173466	42402006	Kartagener syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard
4179673	427909005	Chronic recurrent sinusitis	Clinical Finding	Condition	SNOMED	Valid	Standard
40316073	155525007	Chronic sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40316074	155526008	Chronic maxillary sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40316075	155527004	Chronic frontal sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40316076	155528009	Chronic sinusitis: [NOS] or [ethmoidal] or [chronic pansinusitis] or [sphenoidal]	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40345745	266384001	Chronic sinusitis: [NOS] or [ethmoidal] or [chronic pansinusitis] or [sphenoidal]	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40395044	195785003	(Maxillary sinusitis) or (chronic antritis)	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40395045	195786002	Frontal sinusitis (& chronic)	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40396948	196220001	[X]Other chronic sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
44800090	455311000000109	[X]Other chronic sinusitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
