Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
1750500	21212	clarithromycin	Ingredient	Drug	RxNorm	Valid	Standard
1750501	197516	clarithromycin 250 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1750562	197517	clarithromycin 500 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1750568	251854	clarithromycin 50 MG/ML Injectable Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
1750569	259543	clarithromycin 500 MG Extended Release Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1750722	315693	clarithromycin 25 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1750723	315694	clarithromycin 250 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1750724	315695	clarithromycin 500 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1750725	317626	clarithromycin 50 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1750727	346618	clarithromycin 250 MG Extended Release Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1750728	359385	24 HR clarithromycin 500 MG Extended Release Oral Tablet	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
1750729	597454	clarithromycin 1000 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1750730	597455	clarithromycin 1000 MG Extended Release Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1750731	685543	24 HR clarithromycin 500 MG Extended Release Oral Tablet [Biaxin]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
19002937	103870	clarithromycin 50 MG/ML Injectable Suspension [Klaricid IV]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19016927	153151	clarithromycin 500 MG Extended Release Oral Tablet [Klaricid XL]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19017828	153713	clarithromycin 250 MG Oral Suspension [Klaricid Adult]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19022244	199710	clarithromycin 500 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19030507	205857	clarithromycin 25 MG/ML Oral Suspension [Biaxin]	Branded Drug	Drug	RxNorm	Valid	Standard
19030510	205860	clarithromycin 50 MG/ML Oral Suspension [Biaxin]	Branded Drug	Drug	RxNorm	Valid	Standard
19030533	205863	clarithromycin 250 MG Oral Tablet [Biaxin]	Branded Drug	Drug	RxNorm	Valid	Standard
19030536	205866	clarithromycin 500 MG Oral Tablet [Biaxin]	Branded Drug	Drug	RxNorm	Valid	Standard
19047892	541947	clarithromycin 250 MG [Biaxin]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19047893	566746	clarithromycin 25 MG/ML [Biaxin]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19047894	566749	clarithromycin 50 MG/ML [Biaxin]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19047895	566754	clarithromycin 500 MG [Biaxin]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19058072	240741	clarithromycin 25 MG/ML Oral Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
19075421	309321	clarithromycin 37.5 MG/ML Oral Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
19075422	309322	clarithromycin 50 MG/ML Oral Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
19084880	330310	clarithromycin 37.5 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19087662	331725	clarithromycin 500 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19113827	541949	clarithromycin 250 MG Extended Release Oral Tablet [Biaxin]	Branded Drug	Drug	RxNorm	Valid	Standard
19115140	562169	clarithromycin 250 MG Oral Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
19115705	563429	clarithromycin 50 MG/ML [Klaricid IV]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19117037	565188	clarithromycin 500 MG [Klaricid XL]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19117165	565362	clarithromycin 250 MG [Klaricid Adult]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19129191	757968	{4 (amoxicillin 500 MG Oral Capsule) / 2 (clarithromycin 500 MG Oral Tablet) / 2 (lansoprazole 30 MG Delayed Release Oral Capsule) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
19129192	757969	{4 (amoxicillin 500 MG Oral Capsule [Trimox]) / 2 (clarithromycin 500 MG Oral Tablet [Biaxin]) / 2 (lansoprazole 30 MG Delayed Release Oral Capsule [Prevacid]) } Pack [Prevpac]	Branded Pack	Drug	RxNorm	Valid	Standard
19133856	834036	{56 (24 HR clarithromycin 500 MG Extended Release Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
19133857	834037	{56 (24 HR Clarithromycin 500 MG Extended Release Tablet [Biaxin]) } Pack [Biaxin XL Pac]	Branded Pack	Drug	RxNorm	Invalid	Non-standard
19133949	834228	{10 (clarithromycin 500 MG Extended Release Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
19133950	834229	clarithromycin 500 MG Extended Release Oral Tablet [Biaxin]	Branded Drug	Drug	RxNorm	Valid	Standard
19133951	834230	{10 (Clarithromycin 500 MG Extended Release Tablet [Biaxin]) } Pack [Biaxin 10 Tablet Blister Pack]	Branded Pack	Drug	RxNorm	Invalid	Non-standard
19133953	834244	{4 (clarithromycin 500 MG Extended Release Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
