Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45537989	E84	Cystic fibrosis	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
"45576477	E84.9	Cystic fibrosis, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45605435	E84.0	Cystic fibrosis with pulmonary manifestations	ICD10 code	Condition	ICD10	Valid	Non-standard
45605436	E84.1	Cystic fibrosis with intestinal manifestations	ICD10 code	Condition	ICD10	Valid	Non-standard
45605437	E84.8	Cystic fibrosis with other manifestations	ICD10 code	Condition	ICD10	Valid	Non-standard
45606711	P75	Meconium ileus in cystic fibrosis	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
1568074	E84	Cystic fibrosis	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1568075	E84.1	Cystic fibrosis with intestinal manifestations	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35207082	E84.0	Cystic fibrosis with pulmonary manifestations	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35207083	E84.8	Cystic fibrosis with other manifestations	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35207084	E84.9	Cystic fibrosis, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
45533049	E84.11	Meconium ileus in cystic fibrosis	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45595837	E84.19	Cystic fibrosis with other intestinal manifestations	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45605107	Z14.1	Cystic fibrosis carrier	4-char billing code	Condition	ICD10CM	Valid	Non-standard
1410052	E84	Cystic fibrosis	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1410053	E84.0	Cystic fibrosis with pulmonary manifestations	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410054	E84.000	Cystic fibrosis with pulmonary manifestations	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410055	E84.1	Cystic fibrosis with intestinal manifestations	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1410056	E84.100	Cystic fibrosis with intestinal manifestations	ICD10 code	Condition	ICD10CN	Valid	Non-standard
