Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
9694	M1A.00	Idiopathic chronic gout, unspecified site	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9695	M1A.011	Idiopathic chronic gout, right shoulder	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9696	M1A.012	Idiopathic chronic gout, left shoulder	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9697	M1A.019	Idiopathic chronic gout, unspecified shoulder	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9698	M1A.021	Idiopathic chronic gout, right elbow	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9699	M1A.022	Idiopathic chronic gout, left elbow	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9700	M1A.029	Idiopathic chronic gout, unspecified elbow	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9701	M1A.031	Idiopathic chronic gout, right wrist	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9702	M1A.032	Idiopathic chronic gout, left wrist	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9703	M1A.039	Idiopathic chronic gout, unspecified wrist	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9704	M1A.041	Idiopathic chronic gout, right hand	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9705	M1A.042	Idiopathic chronic gout, left hand	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9706	M1A.049	Idiopathic chronic gout, unspecified hand	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9707	M1A.051	Idiopathic chronic gout, right hip	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9708	M1A.052	Idiopathic chronic gout, left hip	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9709	M1A.059	Idiopathic chronic gout, unspecified hip	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9710	M1A.061	Idiopathic chronic gout, right knee	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9711	M1A.062	Idiopathic chronic gout, left knee	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9712	M1A.069	Idiopathic chronic gout, unspecified knee	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9713	M1A.071	Idiopathic chronic gout, right ankle and foot	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9714	M1A.072	Idiopathic chronic gout, left ankle and foot	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9715	M1A.079	Idiopathic chronic gout, unspecified ankle and foot	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9716	M1A.08	Idiopathic chronic gout, vertebrae	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9717	M1A.09	Idiopathic chronic gout, multiple sites	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19216	T74.01	Adult neglect or abandonment, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19217	T74.02	Child neglect or abandonment, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19218	T74.11	Adult physical abuse, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19219	T74.12	Child physical abuse, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19220	T74.21	Adult sexual abuse, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19221	T74.22	Child sexual abuse, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19222	T74.31	Adult psychological abuse, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19223	T74.32	Child psychological abuse, confirmed	5-char nonbill code	Observation	ICD10CM	Valid	Non-standard
19225	T74.91	Unspecified adult maltreatment, confirmed	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
19226	T74.92	Unspecified child maltreatment, confirmed	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
28481	D000069281	Autoimmune Hypophysitis	Main Heading	Condition	MeSH	Valid	Non-standard
32893	OMOP4976963	Confirmed diagnosis	Condition Status	Condition Status	Condition Status	Valid	Standard
32942	OMOP4997714	Confined Disease	Disease Extent	Episode	Episode	Valid	Standard
73297	28801006	Resolving infantile idiopathic scoliosis	Clinical Finding	Condition	SNOMED	Valid	Standard
74464	30611007	Idiopathic scoliosis AND/OR kyphoscoliosis	Clinical Finding	Condition	SNOMED	Valid	Standard
75580	52231000	Chronic ulcerative proctitis	Clinical Finding	Condition	SNOMED	Valid	Standard
75908	82304009	Kissing spine	Clinical Finding	Condition	SNOMED	Valid	Standard
77317	52506002	Chronic ulcerative rectosigmoiditis	Clinical Finding	Condition	SNOMED	Valid	Standard
77961	31487001	Disseminated idiopathic skeletal hyperostosis	Clinical Finding	Condition	SNOMED	Valid	Standard
81390	3345002	Idiopathic osteoporosis	Clinical Finding	Condition	SNOMED	Valid	Standard
81893	64766004	Ulcerative colitis	Clinical Finding	Condition	SNOMED	Valid	Standard
133508	50047001	Compound dental caries	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
134330	425756000	Idiopathic transverse myelitis	Clinical Finding	Condition	SNOMED	Valid	Standard
138545	20980008	Progressive infantile idiopathic scoliosis	Clinical Finding	Condition	SNOMED	Valid	Standard
140803	42265009	Idiopathic urticaria	Clinical Finding	Condition	SNOMED	Valid	Standard
194913	86489003	Idiopathic peripheral autonomic neuropathy	Clinical Finding	Condition	SNOMED	Valid	Standard
194992	396331005	Celiac disease	Clinical Finding	Condition	SNOMED	Valid	Standard
253121	186194007	Tuberculosis of lung, confirmed by culture only	Clinical Finding	Condition	SNOMED	Valid	Standard
255059	77593006	Congenital bronchiectasis	Clinical Finding	Condition	SNOMED	Valid	Standard
255454	186193001	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	Clinical Finding	Condition	SNOMED	Valid	Standard
256018	186195008	Tuberculosis of lung, confirmed histologically	Clinical Finding	Condition	SNOMED	Valid	Standard
256449	12295008	Bronchiectasis	Clinical Finding	Condition	SNOMED	Valid	Standard
257775	23022004	Tuberculous bronchiectasis	Clinical Finding	Condition	SNOMED	Valid	Standard
258866	46775006	Respiratory distress syndrome in the newborn	Clinical Finding	Condition	SNOMED	Valid	Standard
261774	186202007	Respiratory tuberculosis, not confirmed bacteriologically or histologically	Clinical Finding	Condition	SNOMED	Valid	Standard
312902	68267002	Benign intracranial hypertension	Clinical Finding	Condition	SNOMED	Valid	Standard
315293	266235007	Acute idiopathic pericarditis	Clinical Finding	Condition	SNOMED	Valid	Standard
316447	77545000	Chronic hypotension	Clinical Finding	Condition	SNOMED	Valid	Standard
317307	91025000	Idiopathic myocarditis	Clinical Finding	Condition	SNOMED	Valid	Standard
318397	13172003	Chronic idiopathic thrombocytopenic purpura	Clinical Finding	Condition	SNOMED	Valid	Standard
320128	59621000	Essential hypertension	Clinical Finding	Condition	SNOMED	Valid	Standard
321683	7550008	Transitory tachypnea of newborn	Clinical Finding	Condition	SNOMED	Valid	Standard
374922	230481005	Idiopathic stabbing headache	Clinical Finding	Condition	SNOMED	Valid	Standard
374923	193093009	Bell's palsy	Clinical Finding	Condition	SNOMED	Valid	Standard
375806	22722001	Idiopathic peripheral neuropathy	Clinical Finding	Condition	SNOMED	Valid	Standard
377875	1794009	Idiopathic corneal edema	Clinical Finding	Condition	SNOMED	Valid	Standard
378417	22451001	Primary torsion dystonia	Clinical Finding	Condition	SNOMED	Valid	Standard
380394	33209009	Idiopathic progressive polyneuropathy	Clinical Finding	Condition	SNOMED	Valid	Standard
381270	49049000	Parkinson's disease	Clinical Finding	Condition	SNOMED	Valid	Standard
432352	45157009	Idiopathic interstitial pneumonia	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
432948	234960009	Hereditary or idiopathic disturbance of tooth structure	Clinical Finding	Condition	SNOMED	Valid	Standard
434231	269232009	Burn confined to eye and adnexa	Clinical Finding	Condition	SNOMED	Valid	Standard
435542	81796004	Idiopathic cyst of iris	Clinical Finding	Condition	SNOMED	Valid	Standard
437082	9631008	Ankylosing spondylitis	Clinical Finding	Condition	SNOMED	Valid	Standard
437359	82562007	Osteochondritis dissecans	Clinical Finding	Condition	SNOMED	Valid	Standard
438383	109994006	Essential thrombocythemia	Clinical Finding	Condition	SNOMED	Valid	Standard
438782	40527005	Idiopathic pulmonary hemosiderosis	Clinical Finding	Condition	SNOMED	Valid	Standard
439399	398716006	Endomyocardial fibrosis	Clinical Finding	Condition	SNOMED	Valid	Standard
440740	359789008	Takayasu's disease	Clinical Finding	Condition	SNOMED	Valid	Standard
441049	80353004	Enamel caries	Clinical Finding	Condition	SNOMED	Valid	Standard
442106	41969006	Idiopathic disease	Clinical Finding	Condition	SNOMED	Valid	Standard
443857	29668007	Idiopathic cyst of ciliary body	Clinical Finding	Condition	SNOMED	Valid	Standard
582350	5cd449ba-24e3-473b-9cdb-3e201f2cbb19	homeopathic liquid 9[hp_X]/59.1mL / 12[hp_X]/59.1mL ORAL LIQUID [isopathic phenolic rings]	OTC Drug	Drug	SPL	Valid	Classification
703440	1300731000000106	COVID-19 confirmed using clinical diagnostic criteria	Context-dependent	Condition	SNOMED	Valid	Non-standard
703441	1300721000000109	COVID-19 confirmed by laboratory test	Context-dependent	Condition	SNOMED	Valid	Non-standard
709867	0116U	Prescription drug monitoring, enzyme immunoassay of 35 or more drugs confirmed with LC-MS/MS, oral fluid, algorithm results reported as a patient-compliance measurement with risk of drug to drug interactions for prescribed medications	CPT4	Procedure	CPT4	Valid	Standard
709915	0568T	Introduction of mixture of saline and air for sonosalpingography to confirm occlusion of fallopian tubes, transcervical approach, including transvaginal ultrasound and pelvic ultrasound	CPT4	Procedure	CPT4	Valid	Standard
723481	94648-3	Date contact confirmed as a case	Clinical Observation	Observation	LOINC	Valid	Standard
725245	D72.110	Idiopathic hypereosinophilic syndrome [IHES]	6-char billing code	Condition	ICD10CM	Valid	Non-standard
735092	C548027	Idiopathic Juxtafoveal Retinal Telangiectasia	Suppl Concept	Condition	MeSH	Valid	Non-standard
756022	OMOP4873948	Exposure to patient with confirmed COVID-19	Event	Observation	OMOP Extension	Valid	Standard
