Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45538369	I11.0	Hypertensive heart disease with (congestive) heart failure	ICD10 code	Condition	ICD10	Valid	Non-standard
45552780	I13.2	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	ICD10 code	Condition	ICD10	Valid	Non-standard
45567179	I50.0	Congestive heart failure	ICD10 code	Condition	ICD10	Valid	Non-standard
45572075	I13.0	Hypertensive heart and renal disease with (congestive) heart failure	ICD10 code	Condition	ICD10	Valid	Non-standard
45576863	I11.9	Hypertensive heart disease without (congestive) heart failure	ICD10 code	Condition	ICD10	Valid	Non-standard
1569179	I50.2	Systolic (congestive) heart failure	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569180	I50.3	Diastolic (congestive) heart failure	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569181	I50.4	Combined systolic (congestive) and diastolic (congestive) heart failure	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
45533456	I50.32	Chronic diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45533457	I50.40	Unspecified combined systolic (congestive) and diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45543182	I50.21	Acute systolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45548022	I50.31	Acute diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45562355	I50.33	Acute on chronic diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45567180	I50.23	Acute on chronic systolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45567181	I50.43	Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45576878	I50.22	Chronic systolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45586587	I50.20	Unspecified systolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45586588	I50.42	Chronic combined systolic (congestive) and diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45591469	I50.41	Acute combined systolic (congestive) and diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
45601038	I50.30	Unspecified diastolic (congestive) heart failure	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1413725	I11.0	Hypertensive heart disease with (congestive) heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413726	I11.000	Hypertensive heart disease with (congestive) heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413729	I11.9	Hypertensive heart disease without (congestive) heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413730	I11.900	Hypertensive heart disease without (congestive) heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413740	I13.0	Hypertensive heart and renal disease with (congestive) heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413741	I13.000	Hypertensive heart and renal disease with (congestive) heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413744	I13.2	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1413745	I13.200	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1414249	I50.0	Congestive heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1414250	I50.000	Congestive heart failure	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37084430	I11.0	Hypertensive heart disease with (congestive) heart failure	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37084433	I11.9	Hypertensive heart disease without (congestive) heart failure	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37084443	I13.0	Hypertensive heart and renal disease with (congestive) heart failure	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37084449	I13.2	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37084450	I13.20	Hypertensive heart and kidney disease with (congestive) heart failure and kidney failure: No indication of a hypertensive crisis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37084451	I13.21	Hypertensive heart and kidney disease with (congestive) heart failure and kidney failure: with details of a hypertensive crisis	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37084676	I50.0	Congestive heart failure	ICD10 code	Condition	ICD10GM	Valid	Non-standard
"44826642	428.0	Congestive heart failure, unspecified	4-dig billing code	Condition	ICD9CM	Valid	Non-standard"
45614267	D006333	Heart Failure	Main Heading	Condition	MeSH	Valid	Non-standard
312338	77737007	Benign hypertensive heart disease with congestive heart failure	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
313502	77970009	Benign hypertensive heart disease without congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
314369	36315003	Malignant hypertensive heart disease without congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
314378	5148006	Hypertensive heart disease with congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
315295	82523003	Congestive rheumatic heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
316994	83105008	Malignant hypertensive heart disease with congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
319034	60899001	Hypertensive heart disease without congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
319835	42343007	Congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
439694	194781004	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	Clinical Finding	Condition	SNOMED	Valid	Standard
439696	194779001	Hypertensive heart and renal disease with (congestive) heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
762002	285211000119102	Congestive heart failure as post-operative complication of cardiac surgery	Clinical Finding	Condition	SNOMED	Valid	Standard
762003	285221000119109	Congestive heart failure as post-operative complication of non-cardiac surgery	Clinical Finding	Condition	SNOMED	Valid	Standard
3522693	67451000119104	Congestive heart failure stage B	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
3527337	325431000000103	Congestive heart failure due to valvular disease	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
3527727	338101000000107	Congestive heart failure due to valvular disease	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4023479	10633002	Acute congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
4139864	426263006	Congestive heart failure due to left ventricular systolic dysfunction	Clinical Finding	Condition	SNOMED	Valid	Standard
4142561	426611007	Congestive heart failure due to valvular disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4206009	5375005	Chronic left-sided congestive heart failure	Clinical Finding	Condition	SNOMED	Valid	Standard
