Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
749964	251647	carisoprodol 300 MG / dexamethasone 0.25 MG / tenoxicam 10 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
792331	1943550	{49 (dexamethasone 1.5 MG Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
793636	1943549	{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [ZoDex 6 Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
793637	1943551	{49 (dexamethasone 1.5 MG Oral Tablet) } Pack [Zodex 12 Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
793639	1945071	{21 (dexamethasone 1.5 MG Oral Tablet [Decadron]) } Pack [Decadron DP 6 Day]	Branded Pack	Drug	RxNorm	Valid	Standard
793640	1945072	{49 (dexamethasone 1.5 MG Oral Tablet [Decadron]) } Pack [Decadron DP 12 Day]	Branded Pack	Drug	RxNorm	Valid	Standard
916178	244267	dexamethasone 1 MG/ML / neomycin 5 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
916179	244268	dexamethasone 0.0005 MG/MG / neomycin 0.005 MG/MG Ophthalmic Ointment	Clinical Drug	Drug	RxNorm	Valid	Standard
916180	244398	dexamethasone 1 MG/ML / neomycin 5 MG/ML Topical Cream	Clinical Drug	Drug	RxNorm	Valid	Standard
916209	249426	dexamethasone 0.25 MG/ML / neomycin 5 MG/ML Otic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
916272	262191	dexamethasone 1 MG/ML / neomycin 3.5 MG/ML Ophthalmic Solution [Neo-Dexair]	Branded Drug	Drug	RxNorm	Valid	Standard
916468	351492	dexamethasone 0.001 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [AK-Trol]	Branded Drug	Drug	RxNorm	Valid	Standard
916469	351493	dexamethasone 0.001 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Ocu-Trol]	Branded Drug	Drug	RxNorm	Valid	Standard
948693	313943	dexamethasone 1 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
948694	313947	dexamethasone 0.001 MG/MG / neomycin 0.005 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment	Clinical Drug	Drug	RxNorm	Valid	Standard
964311	1998481	{49 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 12 Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
964312	1998482	{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 6 Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
990094	246726	chloramphenicol 5 MG/ML / dexamethasone 1 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
990187	251223	calcium dobesilate 0.04 MG/MG / dexamethasone 0.00025 MG/MG / lidocaine 0.02 MG/MG Topical Ointment	Clinical Drug	Drug	RxNorm	Valid	Standard
1000641	246752	clotrimazole 10 MG/ML / dexamethasone 0.4 MG/ML Topical Cream	Clinical Drug	Drug	RxNorm	Valid	Standard
1000654	249546	clotrimazole 10 MG/ML / dexamethasone 0.443 MG/ML Topical Cream	Clinical Drug	Drug	RxNorm	Valid	Standard
1146347	2378841	dexamethasone acetate anhydrous	Precise Ingredient	Drug	RxNorm	Valid	Non-standard
1150806	251598	astemizole 2 MG/ML / dexamethasone 0.3 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1150807	251978	astemizole 10 MG / dexamethasone 0.25 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1150862	249731	dexamethasone 0.5 MG / terfenadine 60 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1150865	252621	dexamethasone 1 MG / terfenadine 120 MG Extended Release Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1178729	251976	dexamethasone 0.15 MG / indomethacin 20 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1193333	248913	Chlorpheniramine 2 MG / Dexamethasone 0.25 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1193340	249439	Chlorpheniramine 2 MG / Dexamethasone 0.5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1193369	251199	Chlorpheniramine 4 MG / Dexamethasone 0.4 MG Extended Release Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1194734	755548	Chlorpheniramine 0.4 MG/ML / Dexamethasone 0.025 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1356080	2108015	dexamethasone 0.4 MG Drug Implant	Clinical Drug	Drug	RxNorm	Valid	Standard
1356082	2108017	dexamethasone 0.4 MG [Dextenza]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
1356083	2108018	dexamethasone Drug Implant [Dextenza]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1356085	2108020	dexamethasone 0.4 MG Drug Implant [Dextenza]	Branded Drug	Drug	RxNorm	Valid	Standard
1356098	2108345	dexamethasone Metered Dose Inhaler	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1356164	2108348	dexamethasone Metered Dose Inhaler [Dexacort Phosphate in Respihaler]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1366731	2118829	{21 (dexamethasone 1.5 MG Oral Tablet) } Pack [HiDex 6-Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
1366732	2118835	{27 (dexamethasone 1.5 MG Oral Tablet) } Pack [TaperDex 7-Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
1510432	2045403	dexamethasone 103.4 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1510434	2045406	dexamethasone 103.4 MG/ML [Dexycu]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
1510435	2045407	dexamethasone Injection [Dexycu]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1510437	2045410	dexamethasone 103.4 MG/ML Injection	Clinical Drug	Drug	RxNorm	Valid	Standard
1510438	2045411	dexamethasone 103.4 MG/ML Injection [Dexycu]	Branded Drug	Drug	RxNorm	Valid	Standard
1510781	2045404	0.005 ML dexamethasone 103.4 MG/ML Injection	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
1510782	2045409	0.005 ML dexamethasone 103.4 MG/ML Injection [Dexycu]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
1511403	2121587	{39 (dexamethasone 1.5 MG Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
1511404	2121735	{39 (dexamethasone 1.5 MG Oral Tablet) } Pack [Dxevo 11 Day Taper]	Branded Pack	Drug	RxNorm	Valid	Standard
1518254	3264	dexamethasone	Ingredient	Drug	RxNorm	Valid	Standard
1518257	197576	dexamethasone 0.25 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1518258	197577	dexamethasone 0.5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1518259	197579	dexamethasone 1 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1518261	197581	dexamethasone 2 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1518292	197582	dexamethasone 4 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1518293	197583	dexamethasone 6 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1518294	197584	Dexamethasone 24 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1518490	226343	dexamethasone phosphate 1 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1518491	242882	dexamethasone 0.2 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1518523	244295	dexamethasone 10 MG/ML Otic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1518524	244488	dexamethasone 0.1 MG/ML Topical Spray	Clinical Drug	Drug	RxNorm	Valid	Standard
1518525	247293	dexamethasone 3.2 MG/ML Injectable Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
1518526	247484	dexamethasone 0.001 MG/MG Ophthalmic Ointment	Clinical Drug	Drug	RxNorm	Valid	Standard
1518527	248175	dexamethasone 0.02 MG/ACTUAT / tramazoline 0.12 MG/ACTUAT Nasal Spray	Clinical Drug	Drug	RxNorm	Valid	Standard
