Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
1337860	3628	dopamine	Ingredient	Drug	RxNorm	Valid	Standard
1337893	238217	Dopamine 160 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1337894	238218	Dopamine 40 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1337895	238219	Dopamine 80 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1337896	242967	Dopamine 6.4 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1337898	251821	Dopamine 5 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1337932	328223	Dopamine 0.8 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337933	328224	Dopamine 1.6 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337934	328226	Dopamine 40 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337935	328227	Dopamine 80 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337938	333594	Dopamine 6.4 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337939	334616	Dopamine 20 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337940	334617	Dopamine 5 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1337941	542916	Dopamine 80 MG/ML Injectable Solution [Intropin]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1337972	727843	5 ML Dopamine 40 MG/ML Prefilled Syringe	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1337973	727844	10 ML Dopamine 40 MG/ML Prefilled Syringe	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19000899	102360	Dopamine 160 MG/ML Injectable Solution [Intropin]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19020016	198415	Dopamine 1 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19025508	201474	Dopamine 40 MG/ML Injectable Solution [Intropin]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19064037	250958	Dopamine 20 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19069830	542915	Dopamine 80 MG/ML [Intropin]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19069851	562988	Dopamine 160 MG/ML [Intropin]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19069852	565918	Dopamine 40 MG/ML [Intropin]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19076710	310011	Dopamine 0.8 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19076731	310012	Dopamine 1.6 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19076732	310013	Dopamine 3.2 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19085195	330425	Dopamine 1 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
