Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
733197	746835	Bupivacaine 7.5 MG/ML / Epinephrine 0.005 MG/ML Injectable Solution [Sensorcaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
793005	1989112	0.3 ML epinephrine 1 MG/ML Prefilled Syringe	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
793007	1989114	epinephrine 1 MG/ML [Symjepi]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
793008	1989115	epinephrine Prefilled Syringe [Symjepi]	Branded Drug Form	Drug	RxNorm	Valid	Standard
793010	1989117	0.3 ML epinephrine 1 MG/ML Prefilled Syringe [Symjepi]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
793011	1989118	epinephrine 1 MG/ML Prefilled Syringe	Clinical Drug	Drug	RxNorm	Valid	Standard
793012	1989119	epinephrine 1 MG/ML Prefilled Syringe [Symjepi]	Branded Drug	Drug	RxNorm	Valid	Standard
793160	1991328	NDA201739 0.1 ML epinephrine 1 MG/ML Auto-Injector	Clinical Drug	Drug	RxNorm	Valid	Standard
793161	1991329	NDA201739 0.1 ML epinephrine 1 MG/ML Auto-Injector [Auvi-Q]	Branded Drug	Drug	RxNorm	Valid	Standard
793387	1993224	1.8 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge [Citanest Forte]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
914435	249832	Atropine 2 MG/ML / Epinephrine 20 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
914438	252363	Atropine 5 MG/ML / Epinephrine 10 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
951304	312626	Epinephrine 0.005 MG/ML / Prilocaine 40 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
990227	311333	Epinephrine 0.005 MG/ML / Lidocaine 20 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
990231	317118	Epinephrine 0.005 MG/ML / Lidocaine 5 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
990291	348391	Epinephrine 0.01 MG/ML / Lidocaine 20 MG/ML Topical Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
990325	413235	epinephrine 0.125 MG/ML / lidocaine 20 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
990354	542576	Epinephrine 0.01 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Octocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990355	542592	Epinephrine 0.02 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Octocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990385	544476	Epinephrine 0.02 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Lignospan]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990504	746949	Epinephrine 0.02 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990505	746951	Epinephrine 0.01 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990506	746953	Epinephrine 0.01 MG/ML / Lidocaine 10 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990507	746955	Epinephrine 0.005 MG/ML / Lidocaine 5 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990508	746957	Epinephrine 0.005 MG/ML / Lidocaine 15 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990509	746959	Epinephrine 0.005 MG/ML / Lidocaine 20 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
990510	746961	Epinephrine 0.005 MG/ML / Lidocaine 10 MG/ML Injectable Solution [Xylocaine with Epinephrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1343916	3992	epinephrine	Ingredient	Drug	RxNorm	Valid	Standard
1343918	141848	epinephrine 10 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1343985	212343	epinephrine 0.3 MG/ACTUAT Metered Dose Inhaler [Asthmahaler]	Branded Drug	Drug	RxNorm	Valid	Standard
1343986	212344	Epinephrine 0.3 MG/ACTUAT Inhalant Solution [Bronchial Mist with Pump]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1343987	212345	epinephrine 0.3 MG/ACTUAT Metered Dose Inhaler [Bronitin]	Branded Drug	Drug	RxNorm	Valid	Standard
1343988	212538	epinephrine 0.25 MG/ACTUAT Metered Dose Inhaler [Bronkaid Mist]	Branded Drug	Drug	RxNorm	Valid	Standard
1343989	237187	epinephrine 10 MG/ML Inhalation Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1343990	243316	Epinephrine 0.15 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1343991	243317	Epinephrine 11.2 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1344012	243318	Epinephrine 0.27 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1344013	244284	epinephrine 1 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1344014	245317	epinephrine 0.5 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1344015	247596	Epinephrine 0.22 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1344016	247869	Epinephrine 35 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1344049	313963	epinephrine 20 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1344050	313967	epinephrine 1 MG/ML Nasal Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1344052	317361	epinephrine 0.1 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
