Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45592428	R70.0	Elevated erythrocyte sedimentation rate	ICD10 code	Condition	ICD10	Valid	Non-standard
35211418	R70.0	Elevated erythrocyte sedimentation rate	4-char billing code	Condition	ICD10CM	Valid	Non-standard
1427842	R70.0	Elevated erythrocyte sedimentation rate	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1427843	R70.000	Elevated erythrocyte sedimentation rate	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37094066	R70.0	Elevated erythrocyte sedimentation rate	ICD10 code	Condition	ICD10GM	Valid	Non-standard
434481	365649001	Erythrocyte sedimentation rate - finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4013525	165466008	Low erythrocyte sedimentation rate	Clinical Finding	Condition	SNOMED	Valid	Standard
4013526	165468009	ESR raised	Clinical Finding	Condition	SNOMED	Valid	Standard
4013850	165465007	ESR abnormal	Clinical Finding	Condition	SNOMED	Valid	Standard
4013851	165467004	Erythrocyte sedimentation rate normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4167711	416103000	Elevated erythrocyte sedimentation rate	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
"2212736	85651	Sedimentation rate, erythrocyte; non-automated	CPT4	Measurement	CPT4	Valid	Standard"
"2212737	85652	Sedimentation rate, erythrocyte; automated	CPT4	Measurement	CPT4	Valid	Standard"
45755635	R70	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	ICD10 Hierarchy	Measurement	ICD10	Valid	Non-standard
1572271	R70	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	3-char nonbill code	Measurement	ICD10CM	Valid	Non-standard
1427841	R70	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	ICD10 Hierarchy	Measurement	ICD10CN	Valid	Non-standard
37094065	R70	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	ICD10 Hierarchy	Measurement	ICD10GM	Valid	Non-standard
3013688	18184-2	Erythrocyte sedimentation rate by 2H Westergren method	Lab Test	Measurement	LOINC	Valid	Standard
3013707	4537-7	Erythrocyte sedimentation rate by Westergren method	Lab Test	Measurement	LOINC	Valid	Standard
3015183	30341-2	Erythrocyte sedimentation rate	Lab Test	Measurement	LOINC	Valid	Standard
3019251	4539-3	Erythrocyte sedimentation rate Zeta by Zetafuge	Lab Test	Measurement	LOINC	Valid	Standard
3022521	4538-5	Erythrocyte sedimentation rate by Wintrobe method	Lab Test	Measurement	LOINC	Valid	Standard
3045567	43402-7	Erythrocyte sedimentation rate by 15 minute reading	Lab Test	Measurement	LOINC	Valid	Standard
37049000	LP392450-5	Erythrocyte sedimentation rate | Blood | Hematology and Cell counts	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37059753	LP392451-3	Erythrocyte sedimentation rate Zeta | Blood | Hematology and Cell counts	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
40787781	LP53433-6	Erythrocyte Sedimentation Rate Zeta | Bld-Ser-Plas	LOINC Hierarchy	Measurement	LOINC	Invalid	Non-standard
40790261	LP45671-2	Erythrocyte Sedimentation Rate | Bld-Ser-Plas	LOINC Hierarchy	Measurement	LOINC	Invalid	Non-standard
42528622	82477-1	Erythrocyte sedimentation rate by Photometric method	Lab Test	Measurement	LOINC	Valid	Standard
45614069	D001799	Erythrocyte Sedimentation Rate	Measurement	Measurement	MeSH	Invalid	Non-standard
"4015181	104154005	Erythrocyte sedimentation rate, non-automated	Procedure	Measurement	SNOMED	Valid	Standard"
"4016246	104155006	Erythrocyte sedimentation rate, automated	Procedure	Measurement	SNOMED	Valid	Standard"
4212065	416838001	Erythrocyte sedimentation rate measurement	Procedure	Measurement	SNOMED	Valid	Standard
37393853	1022511000000103	Erythrocyte sedimentation rate	Observable Entity	Measurement	SNOMED	Valid	Standard
40301735	142875000	Erythrocyte sedimentation rate (& level)	Procedure	Measurement	SNOMED	Invalid	Non-standard
37069638	LP16410-0	Erythrocyte sedimentation rate Zeta	LOINC Component	Observation	LOINC	Valid	Non-standard
40785945	LP16409-2	Erythrocyte sedimentation rate	LOINC Component	Observation	LOINC	Valid	Non-standard
40267646	103208001	Erythrocyte sedimentation rate	Observable Entity	Observation	SNOMED	Invalid	Non-standard
40332395	165464006	Erythrocyte sedimentation rate (& level)	Procedure	Procedure	SNOMED	Invalid	Non-standard
