Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
4064481	165039000	FVC - forced vital capacity normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4064741	165044007	FEV1/FVC ratio abnormal	Clinical Finding	Condition	SNOMED	Valid	Standard
4065408	165040003	FVC - forced vital capacity abnormal	Clinical Finding	Condition	SNOMED	Valid	Standard
4065410	165043001	FEV1/FVC ratio normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4151447	314472003	FEV1/FVC < 70% of predicted	Clinical Finding	Condition	SNOMED	Valid	Standard
4152057	314473008	FEV1/FVC > 70% of predicted	Clinical Finding	Condition	SNOMED	Valid	Standard
4271507	366151006	Forced vital capacity - finding	Clinical Finding	Condition	SNOMED	Valid	Standard
3000645	19876-2	Forced vital capacity [Volume] Respiratory system by Spirometry --pre bronchodilation	Clinical Observation	Measurement	LOINC	Valid	Standard
3001668	19875-4	Forced vital capacity [Volume] Respiratory system --post bronchodilation	Clinical Observation	Measurement	LOINC	Valid	Standard
3002094	19869-7	Forced vital capacity [Volume] Respiratory system Predicted	Clinical Observation	Measurement	LOINC	Valid	Standard
3002777	19874-7	Forced vital capacity [Volume] Respiratory system by Spirometry --post bronchodilation	Clinical Observation	Measurement	LOINC	Valid	Standard
3003197	19868-9	Forced vital capacity [Volume] Respiratory system by Spirometry	Clinical Observation	Measurement	LOINC	Valid	Standard
3020158	19870-5	Forced vital capacity [Volume] Respiratory system	Clinical Observation	Measurement	LOINC	Valid	Standard
3037879	19877-0	Forced vital capacity [Volume] Respiratory system --pre bronchodilation	Clinical Observation	Measurement	LOINC	Valid	Standard
37027750	LP408945-6	Forced vital capacity | Respiratory system | Respiratory measures and Ventilator management	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37038779	LP404754-6	Volume expired during 1.0 s of forced expiration/Forced vital capacity | Respiratory system | Respiratory measures and Ventilator management	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37053401	LP404755-3	Volume expired during 1.0 s of forced expiration/Forced vital capacity percent change | Respiratory system | Respiratory measures and Ventilator management	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
37071922	LP408947-2	Forced vital capacity/Forced vital capacity.predicted | Respiratory system | Respiratory measures and Ventilator management	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
958683	D005541	Forced Expiratory Volume	Main Heading	Measurement	MeSH	Valid	Non-standard
45613384	D014797	Vital Capacity	Main Heading	Measurement	MeSH	Valid	Non-standard
3574699	377361000000105	Forced vital capacity before bronchodilation	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3574700	377371000000103	Forced vital capacity before bronchodilation	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3574701	377381000000101	Forced vital capacity before bronchodilation	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3574717	513511000000102	Percentage of predicted forced vital capacity	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
