Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
40475093	I00-I02	Acute rheumatic fever	ICD10 SubChapter	Condition	ICD10	Valid	Non-standard
"45532823	A25.9	Rat-bite fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45532838	A48.2	Nonpneumonic Legionnaires disease [Pontiac fever]	ICD10 code	Condition	ICD10	Valid	Non-standard
45532858	A92.4	Rift Valley fever	ICD10 code	Condition	ICD10	Valid	Non-standard
"45532859	A95.9	Yellow fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45532861	A98.5	Haemorrhagic fever with renal syndrome	ICD10 code	Condition	ICD10	Valid	Non-standard
45537708	A01.0	Typhoid fever	ICD10 code	Condition	ICD10	Valid	Non-standard
"45537741	A68.9	Relapsing fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45537744	A77	Spotted fever [tick-borne rickettsioses]	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45537748	A96.2	Lassa fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45542538	A77.0	Spotted fever due to Rickettsia rickettsii	ICD10 code	Condition	ICD10	Valid	Non-standard
45542540	A78	Q fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45542543	A92.1	O'nyong-nyong fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45542544	A96.1	Machupo haemorrhagic fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45547429	A68.0	Louse-borne relapsing fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45547434	A96.0	Junin haemorrhagic fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45548973	R50.8	Other specified fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45552176	A38	Scarlet fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45552198	A79.0	Trench fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45552203	A98.0	Crimean-Congo haemorrhagic fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45556903	A48.4	Brazilian purpuric fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45556917	A75.2	Typhus fever due to Rickettsia typhi	ICD10 code	Condition	ICD10	Valid	Non-standard
"45561732	A92.9	Mosquito-borne viral fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45561733	A93.2	Colorado tick fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45561734	A99	Unspecified viral haemorrhagic fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45566486	A01.1	Paratyphoid fever A	ICD10 code	Condition	ICD10	Valid	Non-standard
"45566487	A01.4	Paratyphoid fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45566527	A91	Dengue hemorrhagic fever	ICD10 code	Condition	ICD10	Invalid	Non-standard
45566528	A92.2	Venezuelan equine fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45566529	A96	Arenaviral haemorrhagic fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45567361	L54.0	Erythema marginatum in acute rheumatic fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45568138	R50	Fever of other and unknown origin	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45571411	A01.2	Paratyphoid fever B	ICD10 code	Condition	ICD10	Valid	Non-standard
45571442	A75	Typhus fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45571443	A75.0	Epidemic louse-borne typhus fever due to Rickettsia prowazekii	ICD10 code	Condition	ICD10	Valid	Non-standard
45571449	A95	Yellow fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45571450	A98.1	Omsk haemorrhagic fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45572072	I00	Rheumatic fever without mention of heart involvement	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45572073	I01	Rheumatic fever with heart involvement	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45576246	A75.3	Typhus fever due to Rickettsia tsutsugamushi	ICD10 code	Condition	ICD10	Valid	Non-standard
45576252	A94	Unspecified arthropod-borne viral fever	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45577798	R50.2	Drug-induced fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45581129	A68.1	Tick-borne relapsing fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45581134	A88.0	Enteroviral exanthematous fever [Boston exanthem]	ICD10 code	Condition	ICD10	Valid	Non-standard
45581135	A90	Dengue fever [classical dengue]	ICD10 code	Condition	ICD10	Invalid	Non-standard
"45582716	R50.9	Fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45585932	A77.9	Spotted fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45585938	A93.1	Sandfly fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45585939	A95.0	Sylvatic yellow fever	ICD10 code	Condition	ICD10	Valid	Non-standard
"45585940	A96.9	Arenaviral haemorrhagic fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45590829	A77.2	Spotted fever due to Rickettsia sibirica	ICD10 code	Condition	ICD10	Valid	Non-standard
45590830	A77.3	Spotted fever due to Rickettsia australis	ICD10 code	Condition	ICD10	Valid	Non-standard
45590836	A95.1	Urban yellow fever	ICD10 code	Condition	ICD10	Valid	Non-standard
45600393	A01.3	Paratyphoid fever C	ICD10 code	Condition	ICD10	Valid	Non-standard
"45600434	A75.9	Typhus fever, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45600435	A77.1	Spotted fever due to Rickettsia conorii	ICD10 code	Condition	ICD10	Valid	Non-standard
1567239	A01.0	Typhoid fever	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1567281	A38	Scarlet fever	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1567331	A75	Typhus fever	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1567332	A77	Spotted fever [tick-borne rickettsioses]	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1567347	A95	Yellow fever	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1567348	A96	Arenaviral hemorrhagic fever	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569112	I01	Rheumatic fever with heart involvement	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1572254	R50	Fever of other and unknown origin	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35205399	A01.1	Paratyphoid fever A	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205400	A01.2	Paratyphoid fever B	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205401	A01.3	Paratyphoid fever C	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35205402	A01.4	Paratyphoid fever, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35205502	A25.9	Rat-bite fever, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35205570	A48.2	Nonpneumonic Legionnaires' disease [Pontiac fever]	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205572	A48.4	Brazilian purpuric fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205630	A68.0	Louse-borne relapsing fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205631	A68.1	Tick-borne relapsing fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35205632	A68.9	Relapsing fever, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35205643	A75.0	Epidemic louse-borne typhus fever due to Rickettsia prowazekii	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205645	A75.2	Typhus fever due to Rickettsia typhi	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205646	A75.3	Typhus fever due to Rickettsia tsutsugamushi	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35205647	A75.9	Typhus fever, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35205648	A77.0	Spotted fever due to Rickettsia rickettsii	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205649	A77.1	Spotted fever due to Rickettsia conorii	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205650	A77.2	Spotted fever due to Rickettsia siberica	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205651	A77.3	Spotted fever due to Rickettsia australis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35205653	A77.9	Spotted fever, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35205654	A78	Q fever	3-char billing code	Condition	ICD10CM	Valid	Non-standard
35205655	A79.0	Trench fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205694	A88.0	Enteroviral exanthematous fever [Boston exanthem]	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205698	A90	Dengue fever [classical dengue]	3-char billing code	Condition	ICD10CM	Valid	Non-standard
35205699	A91	Dengue hemorrhagic fever	3-char billing code	Condition	ICD10CM	Valid	Non-standard
35205701	A92.1	O'nyong-nyong fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205702	A92.2	Venezuelan equine fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205703	A92.4	Rift Valley fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35205705	A92.9	Mosquito-borne viral fever, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35205707	A93.1	Sandfly fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205708	A93.2	Colorado tick fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35205710	A94	Unspecified arthropod-borne viral fever	3-char billing code	Condition	ICD10CM	Valid	Non-standard
35205711	A95.0	Sylvatic yellow fever	4-char billing code	Condition	ICD10CM	Valid	Non-standard
