Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45597198	R73.0	Abnormal glucose tolerance test	ICD10 code	Condition	ICD10	Valid	Non-standard
1427852	R73.0	Abnormal glucose tolerance test	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1427853	R73.000	Abnormal glucose tolerance test	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37094072	R73.0	Abnormal glucose tolerance test	ICD10 code	Condition	ICD10GM	Valid	Non-standard
44831602	790.22	Impaired glucose tolerance test (oral)	5-dig billing code	Condition	ICD9CM	Valid	Non-standard
439402	372055003	Abnormal glucose tolerance test during pregnancy - baby delivered	Clinical Finding	Condition	SNOMED	Valid	Standard
439403	372054004	Abnormal glucose tolerance test during pregnancy - baby not yet delivered	Clinical Finding	Condition	SNOMED	Valid	Standard
440216	274858002	Abnormal glucose tolerance test	Clinical Finding	Condition	SNOMED	Valid	Standard
"3558203	704581000000105	Abnormal glucose tolerance test during pregnancy, childbirth or the puerperium NOS	Clinical Finding	Condition	SNOMED	Invalid	Non-standard"
3558205	704671000000109	Abnormal glucose tolerance test - unspecified whether during pregnancy or the puerperium	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4007106	207272004	[D]Glucose tolerance test abnormal	Context-dependent	Condition	SNOMED	Invalid	Non-standard
4042067	166927002	Impaired glucose tolerance test	Clinical Finding	Condition	SNOMED	Valid	Standard
4042068	166929004	GTT = renal glycosuria	Clinical Finding	Condition	SNOMED	Valid	Standard
4055678	166926006	Glucose tolerance test normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4055679	166928007	Glucose tolerance test indicates diabetes mellitus	Clinical Finding	Condition	SNOMED	Valid	Standard
4155282	372051007	Abnormal glucose tolerance test in the puerperium - baby delivered during current episode of care	Clinical Finding	Condition	SNOMED	Valid	Standard
4157329	372048000	Pregnancy with abnormal glucose tolerance test	Clinical Finding	Condition	SNOMED	Valid	Standard
4162127	372056002	Abnormal glucose tolerance test - unspecified whether during pregnancy or the puerperium	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
"4162865	372046001	Abnormal glucose tolerance test during pregnancy, childbirth and the puerperium	Clinical Finding	Condition	SNOMED	Valid	Standard"
4162866	372050008	Abnormal glucose tolerance test in the puerperium - baby delivered during previous episode of care	Clinical Finding	Condition	SNOMED	Valid	Standard
"4162867	372052000	Abnormal glucose tolerance test during pregnancy, childbirth or the puerperium NOS	Clinical Finding	Condition	SNOMED	Invalid	Non-standard"
40307839	144200001	Glucose tolerance test normal	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40318697	156144001	Pregnancy with abnormal glucose tolerance test	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40358563	267323002	Pregnancy with abnormal glucose tolerance test	Procedure	Condition	SNOMED	Invalid	Non-standard
"40395711	199286006	Abnormal glucose tolerance test during pregnancy, childbirth and the puerperium	Procedure	Condition	SNOMED	Invalid	Non-standard"
40395712	199287002	Abnormal glucose tolerance test - unspecified whether during pregnancy or the puerperium	Procedure	Condition	SNOMED	Invalid	Non-standard
40395713	199288007	Abnormal glucose tolerance test during pregnancy - baby delivered	Procedure	Condition	SNOMED	Invalid	Non-standard
40395714	199289004	Abnormal glucose tolerance test in the puerperium - baby delivered during current episode of care	Procedure	Condition	SNOMED	Invalid	Non-standard
40395715	199290008	Abnormal glucose tolerance test during pregnancy - baby not yet delivered	Procedure	Condition	SNOMED	Invalid	Non-standard
40395717	199291007	Abnormal glucose tolerance test in the puerperium - baby delivered during previous episode of care	Procedure	Condition	SNOMED	Invalid	Non-standard
"40395718	199292000	Abnormal glucose tolerance test during pregnancy, childbirth or the puerperium NOS	Procedure	Condition	SNOMED	Invalid	Non-standard"
44801936	499601000000109	[D]Glucose tolerance test abnormal	Context-dependent	Condition	SNOMED	Invalid	Non-standard
2212358	82946	Glucagon tolerance test	CPT4	Measurement	CPT4	Valid	Standard
"2212362	82951	Glucose; tolerance test (GTT), 3 specimens (includes glucose)	CPT4	Measurement	CPT4	Valid	Standard"
