Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45566407	Z21	Asymptomatic human immunodeficiency virus [HIV] infection status	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45576260	B23.0	Acute HIV infection syndrome	ICD10 code	Condition	ICD10	Valid	Non-standard
35225089	Z21	Asymptomatic human immunodeficiency virus [HIV] infection status	3-char billing code	Condition	ICD10CM	Valid	Non-standard
1404628	B23.0	Acute HIV infection syndrome	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1404629	B23.000	Acute HIV infection syndrome	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1434344	Z21	Asymptomatic human immunodeficiency virus [HIV] infection status	ICD10 Hierarchy	Condition	ICD10CN	Valid	Non-standard
1434345	Z21.x00	Asymptomatic human immunodeficiency virus [HIV] infection status	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37087124	B23.0	Acute HIV infection syndrome	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37097492	Z21	Asymptomatic human immunodeficiency virus [HIV] infection status	ICD10 Hierarchy	Condition	ICD10GM	Valid	Non-standard
44824945	V08	Asymptomatic human immunodeficiency virus [HIV] infection status	3-dig billing V code	Condition	ICD9CM	Valid	Non-standard
45612194	D015658	HIV Infections	Main Heading	Condition	MeSH	Valid	Non-standard
432554	79019005	Human immunodeficiency virus II infection	Clinical Finding	Condition	SNOMED	Valid	Standard
439727	86406008	Human immunodeficiency virus infection	Clinical Finding	Condition	SNOMED	Valid	Standard
3654645	838338001	Bacterial infection due to human immunodeficiency virus infection	Clinical Finding	Condition	SNOMED	Valid	Standard
4008081	111880001	Acute HIV infection	Clinical Finding	Condition	SNOMED	Valid	Standard
4009716	102920009	Fear of contracting HIV infection	Clinical Finding	Condition	SNOMED	Valid	Standard
4172009	48794007	HIV infection with infectious mononucleosis-like syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard
4180254	52079000	Congenital human immunodeficiency virus infection	Clinical Finding	Condition	SNOMED	Valid	Standard
4201627	315019000	HIV infection with aseptic meningitis	Clinical Finding	Condition	SNOMED	Valid	Standard
4236860	405631006	Pediatric human immunodeficiency virus infection	Clinical Finding	Condition	SNOMED	Valid	Standard
4237443	5810003	HIV infection with infection by another virus	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4239722	91948008	Asymptomatic human immunodeficiency virus infection in pregnancy	Clinical Finding	Condition	SNOMED	Valid	Standard
4241530	91947003	Asymptomatic human immunodeficiency virus infection	Clinical Finding	Condition	SNOMED	Valid	Standard
4314426	87117006	HIV infection with acute lymphadenitis	Clinical Finding	Condition	SNOMED	Valid	Standard
40263069	179235008	HIV infection with acute lymphadenitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40376592	186705005	(AIDS) or (HIV infection)	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40640674	89854009	HIV infection with aseptic meningitis	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
42536590	735521001	Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with tuberculosis	Clinical Finding	Condition	SNOMED	Valid	Standard
42536591	735522008	Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with malaria	Clinical Finding	Condition	SNOMED	Valid	Standard
42536592	735523003	Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with tuberculosis	Clinical Finding	Condition	SNOMED	Valid	Standard
42536593	735524009	Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with malaria	Clinical Finding	Condition	SNOMED	Valid	Standard
42536595	735527002	Human immunodeficiency virus World Health Organization 2007 stage 4 co-occurrent with tuberculosis	Clinical Finding	Condition	SNOMED	Valid	Standard
42537802	737378009	World Health Organization 2007 Human immunodeficiency virus infection clinical stage 1	Clinical Finding	Condition	SNOMED	Valid	Standard
42537803	737379001	World Health Organization 2007 Human immunodeficiency virus infection clinical stage 2	Clinical Finding	Condition	SNOMED	Valid	Standard
42537804	737380003	World Health Organization 2007 Human immunodeficiency virus infection clinical stage 3	Clinical Finding	Condition	SNOMED	Valid	Standard
