Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
35206721	D56.4	Hereditary persistence of fetal hemoglobin [HPFH]	4-char billing code	Condition	ICD10CM	Valid	Non-standard
45532989	D56.5	Hemoglobin E-beta thalassemia	4-char billing code	Condition	ICD10CM	Valid	Non-standard
1408463	D57.001	-SS hemoglobin disease with crisis (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408468	D57.201	Hemoglobin -SC disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408469	D57.202	Hemoglobin -SD disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408470	D57.203	Hemoglobin -SE disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408473	D57.301	Disease hybrid hemoglobin S (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408487	D58.201	Hemoglobin -C disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408488	D58.202	-D hemoglobin disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408489	D58.203	-E hemoglobin disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408491	D58.205	Hemoglobin increased (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408492	D58.206	Unstable hemoglobin haemolytic disease (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
44819528	282.47	Hemoglobin E-beta thalassemia	5-dig billing code	Condition	ICD9CM	Valid	Non-standard
"979446	C563050	Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type	Suppl Concept	Condition	MeSH	Valid	Non-standard"
45612246	D017085	alpha-Thalassemia	Main Heading	Condition	MeSH	Valid	Non-standard
45613448	D017086	beta-Thalassemia	Main Heading	Condition	MeSH	Valid	Non-standard
"45615279	D000755	Anemia, Sickle Cell	Main Heading	Condition	MeSH	Valid	Non-standard"
45615495	D006445	Hemoglobin C Disease	Main Heading	Condition	MeSH	Valid	Non-standard
45616406	C563023	Alpha-Thalassemia Myelodysplasia Syndrome	Suppl Concept	Condition	MeSH	Valid	Non-standard
45619070	D006450	Hemoglobin SC Disease	Main Heading	Condition	MeSH	Valid	Non-standard
46256890	C581942	Hemoglobin M Disease	Suppl Concept	Condition	MeSH	Valid	Non-standard
22281	127040003	Sickle cell-hemoglobin SS disease	Clinical Finding	Condition	SNOMED	Valid	Standard
24006	35434009	Sickle cell-hemoglobin C disease	Clinical Finding	Condition	SNOMED	Valid	Standard
25518	16402000	Sickle cell trait	Clinical Finding	Condition	SNOMED	Valid	Standard
26942	417425009	Hemoglobin SS disease with crisis	Clinical Finding	Condition	SNOMED	Valid	Standard
30683	416180004	Hemoglobin SS disease without crisis	Clinical Finding	Condition	SNOMED	Valid	Standard
315523	36472007	Sickle cell-thalassemia disease	Clinical Finding	Condition	SNOMED	Valid	Standard
432868	80141007	Hemoglobinopathy	Clinical Finding	Condition	SNOMED	Valid	Standard
760844	119641000119103	Homozygous hemoglobin H constant spring thalassemia	Clinical Finding	Condition	SNOMED	Valid	Standard
760845	119691000119106	Hemoglobin C/beta thalassemia disease	Clinical Finding	Condition	SNOMED	Valid	Standard
764124	451051000124101	Hemoglobin A1c between 7%-9% indicating borderline diabetic control	Clinical Finding	Condition	SNOMED	Valid	Standard
764125	451061000124104	Hemoglobin A1c greater than 9% indicating poor diabetic control	Clinical Finding	Condition	SNOMED	Valid	Standard
765176	119701000119106	Hemoglobin D/beta thalassemia disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4013073	165396004	Hemoglobin very low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013074	165397008	Hemoglobin low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013075	165400004	Hemoglobin borderline high	Clinical Finding	Condition	SNOMED	Valid	Standard
4013081	165442002	MCH - abnormal	Clinical Finding	Condition	SNOMED	Valid	Standard
4013082	165446004	MCHC - borderline low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013083	165447008	MCHC - low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013239	165437005	MCH - normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4013240	165439008	MCH - low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013241	165440005	MCH - raised	Clinical Finding	Condition	SNOMED	Valid	Standard
4013242	165441009	MCH - borderline raised	Clinical Finding	Condition	SNOMED	Valid	Standard
4013244	165445000	MCHC - normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4013401	165398003	Hemoglobin borderline low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013402	165403002	Hemoglobin abnormal	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4013520	165448003	MCHC - raised	Clinical Finding	Condition	SNOMED	Valid	Standard
4013836	165399006	Hemoglobin normal	Clinical Finding	Condition	SNOMED	Valid	Standard
4013837	165402007	Hemoglobin very high	Clinical Finding	Condition	SNOMED	Valid	Standard
4013845	165438000	MCH - borderline low	Clinical Finding	Condition	SNOMED	Valid	Standard
4013846	165449006	MCHC - borderline raised	Clinical Finding	Condition	SNOMED	Valid	Standard
4031662	14514008	Anemia due to disturbance of hemoglobin synthesis	Clinical Finding	Condition	SNOMED	Valid	Standard
4037733	131170007	Decreased hemoglobin	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4038953	131141003	Increased hemoglobin	Clinical Finding	Condition	SNOMED	Valid	Standard
4061151	16964007	Hereditary persistence of fetal hemoglobin thalassemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4082253	18273004	Unstable hemoglobin disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4094597	25065001	Hemoglobin E disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4094758	250220000	Hemoglobin finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4094762	250237007	Hemoglobin H inclusions	Clinical Finding	Condition	SNOMED	Valid	Standard
4098015	191201002	Hereditary persistence of fetal hemoglobin	Clinical Finding	Condition	SNOMED	Valid	Standard
4100994	191202009	Hemoglobin Zurich disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4103763	25472008	Sickle cell-hemoglobin D disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4120455	234392002	Hemoglobin E/beta thalassemia disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4121114	234387004	Hemoglobin Lepore trait	Clinical Finding	Condition	SNOMED	Valid	Standard
4121115	234391009	Sickle cell anemia with high hemoglobin F	Clinical Finding	Condition	SNOMED	Valid	Standard
4121116	234393007	Low affinity hemoglobin	Clinical Finding	Condition	SNOMED	Valid	Standard
4122933	234394001	High affinity hemoglobin	Clinical Finding	Condition	SNOMED	Valid	Standard
4125628	234386008	Hemoglobin Constant Spring trait	Clinical Finding	Condition	SNOMED	Valid	Standard
4130067	127041004	Sickle cell-beta-thalassemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4131990	264777008	Alteration of hemoglobin concentration	Clinical Finding	Condition	SNOMED	Valid	Standard
4139556	307343001	Acquired hemoglobin H disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4140101	32855007	HPFH unlinked to beta-globulin gene cluster	Clinical Finding	Condition	SNOMED	Valid	Standard
4166115	416290001	Hemoglobin S sickling disorder without crisis	Clinical Finding	Condition	SNOMED	Valid	Standard
4168911	48553001	Hemoglobin H disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4176425	51053007	Hemoglobin C disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4190447	3947004	High oxygen affinity hemoglobin polycythemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4200254	5300004	Hemoglobin Bart's hydrops syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard
4203904	54006005	Hereditary persistence of fetal hemoglobin delta beta plus thalassemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4206913	56205004	HPFH nondeletion type	Clinical Finding	Condition	SNOMED	Valid	Standard
4209085	440206000	Hemoglobin SS disease with vasoocclusive crisis	Clinical Finding	Condition	SNOMED	Valid	Standard
4213628	417357006	Sickling disorder due to hemoglobin S	Clinical Finding	Condition	SNOMED	Valid	Standard
4213820	39586009	HPFH A gamma beta^+^ thalassemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4214191	416417002	Hereditary hemoglobin S	Clinical Finding	Condition	SNOMED	Valid	Standard
4216915	417279003	Hemoglobin S sickling disorder with crisis	Clinical Finding	Condition	SNOMED	Valid	Standard
4226695	405271005	Hemoglobin high	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4231453	89459006	HPFH linked to beta-globulin gene cluster	Clinical Finding	Condition	SNOMED	Valid	Standard
4242755	5967006	A>gamma< beta^+^ HPFH AND beta^0^ thalassemia in cis	Clinical Finding	Condition	SNOMED	Valid	Standard
4246377	397066005	Hemoglobin SC crystals	Clinical Finding	Condition	SNOMED	Valid	Standard
4252396	7391009	Hemoglobin D trait	Clinical Finding	Condition	SNOMED	Valid	Standard
4262394	46248003	Hemoglobin E trait	Clinical Finding	Condition	SNOMED	Valid	Standard
4264017	61395005	Hereditary persistence of fetal hemoglobin G gamma beta plus thalassemia	Clinical Finding	Condition	SNOMED	Valid	Standard
4264046	47024008	Sickle cell-hemoglobin E disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4264909	61777009	Thalassemia-hemoglobin C disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4267513	365611000	Mean cell hemoglobin level - finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4267514	365612007	Mean cell hemoglobin concentration - finding	Clinical Finding	Condition	SNOMED	Valid	Standard
"4267675	365809007	Hemoglobin concentration, dipstick - finding	Clinical Finding	Condition	SNOMED	Valid	Standard"
4269700	365614008	Hemoglobin variant finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4273302	365613002	Presence of hemoglobin - finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4276582	365845005	Hemoglobin A1C - diabetic control finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4280961	66729008	Hemoglobin D disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4287329	397067001	Hemoglobin C crystals	Clinical Finding	Condition	SNOMED	Valid	Standard
4290871	3720003	Abnormal presence of hemoglobin	Clinical Finding	Condition	SNOMED	Valid	Standard
4295183	38589006	Mixed hemoglobin disorder	Clinical Finding	Condition	SNOMED	Valid	Standard
4296149	76050008	Hemoglobin C trait	Clinical Finding	Condition	SNOMED	Valid	Standard
4306250	165681007	Hemoglobin A1c greater than 10% indicating poor diabetic control	Clinical Finding	Condition	SNOMED	Valid	Standard
4306438	165679005	Hemoglobin A1c less than 7% indicating good diabetic control	Clinical Finding	Condition	SNOMED	Valid	Standard
4306587	165680008	Hemoglobin A1c between 7%-10% indicating borderline diabetic control	Clinical Finding	Condition	SNOMED	Valid	Standard
4311673	85557000	HPFH deletion type	Clinical Finding	Condition	SNOMED	Valid	Standard
4327189	74912001	Hemoglobin M disease	Clinical Finding	Condition	SNOMED	Valid	Standard
36712970	15758261000119106	Presence of unidentified hemoglobin variant	Clinical Finding	Condition	SNOMED	Valid	Standard
36713359	681401000119103	Presence of hemoglobin alpha-chain variant	Clinical Finding	Condition	SNOMED	Valid	Standard
36713360	681421000119107	Presence of hemoglobin delta chain variant	Clinical Finding	Condition	SNOMED	Valid	Standard
37204287	782880001	Hemoglobinopathy Toms River	Clinical Finding	Condition	SNOMED	Valid	Standard
37204550	783254003	Hereditary persistence of fetal hemoglobin with sickle cell disease syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard
40286212	124963003	Increased hemoglobin	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40286213	124964009	Decreased hemoglobin	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301216	142805001	Hemoglobin very low	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301217	142806000	Hemoglobin low	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301218	142807009	Hemoglobin borderline low	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301219	142808004	Hemoglobin normal	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301220	142809007	Hemoglobin borderline high	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301221	142810002	Hemoglobin high	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301223	142811003	Hemoglobin very high	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40301224	142812005	Hemoglobin abnormal	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
