Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
"45539088	O10.4	Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium	ICD10 code	Condition	ICD10	Valid	Non-standard"
45539091	O13	Gestational [pregnancy-induced] hypertension	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45548008	I15.8	Other secondary hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
"45548700	O10.9	Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium	ICD10 code	Condition	ICD10	Valid	Non-standard"
45552787	I27.0	Primary pulmonary hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
45557535	I15.1	Hypertension secondary to other renal disorders	ICD10 code	Condition	ICD10	Valid	Non-standard
45562338	I15	Secondary hypertension	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45563054	O16	Unspecified maternal hypertension	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
"45567163	I15.9	Secondary hypertension, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45572077	I15.0	Renovascular hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
45572762	O11	Pre-eclampsia superimposed on chronic hypertension	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45577702	P29.2	Neonatal hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
45581768	I27.2	Other secondary pulmonary hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
45586321	G93.2	Benign intracranial hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
45591453	I10	Essential (primary) hypertension	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45591608	K76.6	Portal hypertension	ICD10 code	Condition	ICD10	Valid	Non-standard
45596189	I15.2	Hypertension secondary to endocrine disorders	ICD10 code	Condition	ICD10	Valid	Non-standard
"45601777	O10.0	Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45755599	O10	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard"
45755600	O12	Gestational [pregnancy-induced] oedema and proteinuria without hypertension	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
"1326592	I27.20	Pulmonary hypertension, unspecified	5-char billing code	Condition	ICD10CM	Valid	Non-standard"
1326593	I27.21	Secondary pulmonary arterial hypertension	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1326594	I27.22	Pulmonary hypertension due to left heart disease	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1326595	I27.23	Pulmonary hypertension due to lung diseases and hypoxia	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1326596	I27.24	Chronic thromboembolic pulmonary hypertension	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1326597	I27.29	Other secondary pulmonary hypertension	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1326773	P29.30	Pulmonary hypertension of newborn	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1569124	I15	Secondary hypertension	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569411	I87.3	Chronic venous hypertension (idiopathic)	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569412	I87.30	Chronic venous hypertension (idiopathic) without complications	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569413	I87.31	Chronic venous hypertension (idiopathic) with ulcer	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569414	I87.32	Chronic venous hypertension (idiopathic) with inflammation	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569415	I87.33	Chronic venous hypertension (idiopathic) with ulcer and inflammation	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
