Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45586124	D82.4	Hyperimmunoglobulin E [IgE] syndrome	ICD10 code	Condition	ICD10	Valid	Non-standard
35206821	D82.4	Hyperimmunoglobulin E [IgE] syndrome	4-char billing code	Condition	ICD10CM	Valid	Non-standard
1408896	D82.4	Hyperimmunoglobulin E [IgE] syndrome	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1408897	D82.400	Hyperimmunoglobulin E [IgE] syndrome	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37081920	D82.4	Hyperimmunoglobulin E [IgE] syndrome	ICD10 code	Condition	ICD10GM	Valid	Non-standard
"45614296	D006969	Hypersensitivity, Immediate	Main Heading	Condition	MeSH	Valid	Non-standard"
45615540	D007589	Job Syndrome	Main Heading	Condition	MeSH	Valid	Non-standard
312950	424643009	IgE-mediated allergic asthma	Clinical Finding	Condition	SNOMED	Valid	Standard
4048971	12263007	Type 1 hypersensitivity response	Clinical Finding	Condition	SNOMED	Valid	Standard
4121279	234540007	Selective immunoglobulin E deficiency	Clinical Finding	Condition	SNOMED	Valid	Standard
4186389	414770006	Monoclonal IgE present	Clinical Finding	Condition	SNOMED	Valid	Standard
4263684	60620005	Epsilon heavy chain disease	Clinical Finding	Condition	SNOMED	Valid	Standard
4309833	423889005	Non-IgE mediated allergic asthma	Clinical Finding	Condition	SNOMED	Valid	Standard
37116444	733155006	IgE mediated allergic enteritis of small intestine	Clinical Finding	Condition	SNOMED	Valid	Standard
"725106	86008	Allergen specific IgE; quantitative or semiquantitative, recombinant or purified component, each	CPT4	Measurement	CPT4	Valid	Standard"
2212345	82785	Gammaglobulin (immunoglobulin); IgE	CPT4	Measurement	CPT4	Valid	Standard
"2212748	86003	Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each	CPT4	Measurement	CPT4	Valid	Standard"
"2212749	86005	Allergen specific IgE; qualitative, multiallergen screen (eg, disk, sponge, card)	CPT4	Measurement	CPT4	Valid	Standard"
45889475	1011877	Allergen specific IgE	CPT4 Hierarchy	Measurement	CPT4	Valid	Classification
1001577	93737-5	German turnip IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1001711	93739-1	Red cabbage IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1001749	93740-9	Chives IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1001885	93738-3	Cooked cauliflower IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1002030	93732-6	IgE [Units/volume] in Tear	Lab Test	Measurement	LOINC	Valid	Standard
1002405	93741-7	Balm IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1002446	93847-2	Aspergillus oryzae IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1002620	LP416140-4	Toxoplasma gondii IgE | Serum | Microbiology	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
1003811	LP417043-9	Red cabbage (Brassica oleracea var capitata f rubra) IgE | Serum | Allergy	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
1003909	LP412140-8	IgE | Tear | Chemistry - non-challenge	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
1003947	LP417040-5	Cauliflower (Brassica oleracea var botrytis) cooked IgE | Serum | Allergy	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
1175134	90880-6	Peanut recombinant (rAra h) 6 IgE Ab [Units/volume] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1175331	90881-4	Inhalant Allergen Mix 6 (Alternaria tenuis+Mugwort+Silver birch+Cladosporium herbarum+Timothy grass) IgE Ab [Presence] in Serum by Multidisk	Lab Test	Measurement	LOINC	Valid	Standard
1175386	91121-4	Maltose binding protein IgE Ab RAST class [Presence] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
1175812	90882-2	Staphylococcus aureus enterotoxin E IgE Ab RAST class [Presence] in Serum	Lab Test	Measurement	LOINC	Valid	Standard
