Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
1183554	6054	isoproterenol	Ingredient	Drug	RxNorm	Valid	Standard
1183560	245918	cyclopentamine 5 MG/ML / Isoproterenol 2.5 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183561	246452	Isoproterenol 4 MG/ML / Phenylephrine 6 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183582	251249	isoproterenol 30 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1183584	282455	Isoproterenol 0.2 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183586	311181	Isoproterenol 0.62 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183587	311182	Isoproterenol 0.125 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183588	311183	Isoproterenol 0.16 MG/ACTUAT / Phenylephrine 0.24 MG/ACTUAT Nasal Spray	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183589	311184	Isoproterenol 5 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183590	311185	Isoproterenol 10 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183591	311186	Isoproterenol 10 MG Sublingual Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183602	311187	Isoproterenol 0.13 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183603	311188	Isoproterenol 15 MG Sublingual Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183606	329884	Isoproterenol 0.125 MG/ACTUAT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183607	329885	Isoproterenol 0.16 MG/ACTUAT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183608	329887	Isoproterenol 0.2 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183609	329888	Isoproterenol 10 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183610	329889	Isoproterenol 0.13 MG/ACTUAT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183634	336723	Isoproterenol 1 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183635	345844	Isoproterenol 5 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183636	345845	Isoproterenol 10 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183637	358464	Isoproterenol 0.31 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183638	358465	Isoproterenol 0.62 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183639	358466	Isoproterenol 2.5 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183640	358617	Isoproterenol 4 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1183665	755299	anhydrous calcium iodide 30 MG/ML / Isoproterenol 0.6 MG/ML Oral Solution [Norisodrine with Calcium Iodine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1183667	755911	anhydrous calcium iodide 30 MG/ML / Isoproterenol 0.6 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183668	847564	10 ML Isoproterenol 0.2 MG/ML Prefilled Syringe	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1183669	848168	300 ACTUAT Isoproterenol 0.16 MG/ACTUAT / Phenylephrine 0.24 MG/ACTUAT Metered Dose Inhaler	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1356101	2108199	isoproterenol Inhalation Solution	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1356102	2108205	isoproterenol Inhalation Solution [Isuprel]	Branded Drug Form	Drug	RxNorm	Valid	Standard
19000900	102361	Isoproterenol 0.2 MG/ML Injectable Solution [Isuprel HCl]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19000901	102362	Isoproterenol 30 MG Extended Release Tablet [Saventrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19000920	102399	Isoproterenol 20 MG Oral Tablet [Aleudrin]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19000922	102400	Isoproterenol 10 MG/ML Inhalant Solution [Aleudrin]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19004201	104541	Isoproterenol 0.4 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19011444	141835	Isoproterenol 30 MG Extended Release Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19011550	141904	Isoproterenol 30 MG Oral Tablet [Saventrine]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19012226	150638	Isoproterenol 0.2 MG/ML Injectable Solution [Min-I-Jet Isoprenaline IC]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19012264	150651	Isoproterenol 20 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19012450	150805	Isoproterenol 0.4 MG/ACTUAT Inhalant Solution [Medihaler-Iso Forte]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19022185	567562	Isoproterenol 0.08 MG/ACTUAT [Medihaler-Iso]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19027469	204436	Isoproterenol 0.16 MG/ACTUAT / Phenylephrine 0.24 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19033311	206720	Isoproterenol 0.13 MG/ACTUAT Inhalant Solution [Isuprel Mistometer]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19033372	206746	Isoproterenol 5 MG/ML Inhalant Solution [Isuprel HCl]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19033374	206748	Isoproterenol 10 MG/ML Inhalant Solution [Isuprel HCl]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19033605	206830	Isoproterenol 0.16 MG/ACTUAT / Phenylephrine 0.24 MG/ACTUAT Inhalant Solution [Duo-Medihaler]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19063186	567638	Isoproterenol 0.16 MG/ACTUAT / Phenylephrine 0.24 MG/ACTUAT [Duo-Medihaler]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19064409	251250	Isoproterenol 1 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19070355	562989	Isoproterenol 0.2 MG/ML [Isuprel HCl]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19070356	567557	Isoproterenol 5 MG/ML [Isuprel HCl]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19070357	567559	Isoproterenol 10 MG/ML [Isuprel HCl]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19070359	567532	Isoproterenol 0.13 MG/ACTUAT [Isuprel Mistometer]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19075283	571325	anhydrous calcium iodide 30 MG/ML / Isoproterenol 0.6 MG/ML [Norisodrine with Calcium Iodine]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19078724	311180	Isoproterenol 0.31 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19080070	314044	Isoproterenol 0.08 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19083334	329014	Isoproterenol 0.6 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19084092	329890	Isoproterenol 15 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19085967	330709	Isoproterenol 0.08 MG/ACTUAT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19091382	335068	isoproterenol 30 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19098817	353572	Isoproterenol 20 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19101379	385812	Isoproterenol 0.4 MG/ACTUAT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19103240	409303	Isoproterenol 2.5 MG/ML Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19104646	415874	Isoproterenol 0.004 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19104660	415915	Isoproterenol 0.002 MG/MG Topical Gel	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19110477	440847	Isoproterenol 0.004 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19110478	440848	Isoproterenol 0.002 MG/MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19112766	485047	Isoproterenol 2 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19115317	562990	Isoproterenol 30 MG [Saventrine]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19115331	563005	Isoproterenol 20 MG [Aleudrin]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19115332	563006	Isoproterenol 10 MG/ML [Aleudrin]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19116716	564755	Isoproterenol 0.2 MG/ML [Min-I-Jet Isoprenaline IC]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19116746	564801	Isoproterenol 0.4 MG/ACTUAT [Medihaler-Iso Forte]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19126568	706456	Isoproterenol 0.08 MG/ACTUAT Inhalant Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19126569	706457	Isoproterenol 0.08 MG/ACTUAT Inhalant Solution [Medihaler-Iso]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19128737	755600	Calcium iodide 30 MG/ML / Isoproterenol 0.6 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19132933	82030	isoproterenol hydrochloride	Precise Ingredient	Drug	RxNorm	Valid	Non-standard
19132935	82031	isoproterenol sulfate	Precise Ingredient	Drug	RxNorm	Valid	Non-standard
