Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45568148	R74.0	Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	ICD10 code	Condition	ICD10	Valid	Non-standard
35211421	R74.0	Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1427860	R74.0	Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1427861	R74.000	Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37094075	R74.0	Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	ICD10 code	Condition	ICD10GM	Valid	Non-standard
46256888	C580233	Lactate Dehydrogenase Deficiency	Suppl Concept	Condition	MeSH	Valid	Non-standard
4031797	237982007	Lactate dehydrogenase deficiency	Clinical Finding	Condition	SNOMED	Valid	Standard
4193468	313142006	Serum tumor marker stage S3	Clinical Finding	Condition	SNOMED	Valid	Standard
4196562	313140003	Serum tumor marker stage S1	Clinical Finding	Condition	SNOMED	Valid	Standard
4196563	313141004	Serum tumor marker stage S2	Clinical Finding	Condition	SNOMED	Valid	Standard
4245130	396392000	pM1c: Metastasis to visceral site other than lung or distant metastasis at any site associated with an elevated serum lactic dehydrogenase (LDH) (melanoma of the skin)	Clinical Finding	Condition	SNOMED	Valid	Standard
4286890	396697000	Serum lactate dehydrogenase level elevated	Clinical Finding	Condition	SNOMED	Valid	Standard
"40546436	370074001	S1: LDH < 1.5 x nl and HCG <5,000 mIU/ml and AFP <1,000 ng/ml	Staging / Scales	Condition	SNOMED	Invalid	Non-standard"
"40546437	370075000	S2: LDH 1.5 - 10 x nl or HCG 5,000-50,000 or AFP 1,000 - 10,000	Staging / Scales	Condition	SNOMED	Invalid	Non-standard"
"40546438	370076004	S3: LDH >10 x nl or HCG >50,000 or AFP >10,000	Staging / Scales	Condition	SNOMED	Invalid	Non-standard"
"2212428	83615	Lactate dehydrogenase (LD), (LDH)	CPT4	Measurement	CPT4	Valid	Standard"
"2212429	83625	Lactate dehydrogenase (LD), (LDH); isoenzymes, separation and quantitation	CPT4	Measurement	CPT4	Valid	Standard"
"45889439	1014266	Lactate dehydrogenase (LD), (LDH)	CPT4 Hierarchy	Measurement	CPT4	Valid	Classification"
725461	R74.02	Elevation of levels of lactic acid dehydrogenase [LDH]	5-char billing code	Measurement	ICD10CM	Valid	Non-standard
44822314	790.4	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	4-dig billing code	Measurement	ICD9CM	Valid	Non-standard
3003139	11053-6	Lactate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells	Lab Test	Measurement	LOINC	Valid	Standard
3004200	2535-3	Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation	Lab Test	Measurement	LOINC	Valid	Standard
3004711	2541-1	Lactate dehydrogenase 3 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation	Lab Test	Measurement	LOINC	Valid	Standard
3005225	14805-6	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction	Lab Test	Measurement	LOINC	Valid	Standard
3005662	14119-2	Lactate dehydrogenase 1/Lactate dehydrogenase 2 [Enzymatic activity ratio] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3005783	2537-9	Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3006769	2543-7	Lactate dehydrogenase 3 [Enzymatic activity/volume] in Serum or Plasma	Lab Test	Measurement	LOINC	Valid	Standard
3006898	2536-1	Lactate dehydrogenase 1/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis	Lab Test	Measurement	LOINC	Valid	Standard
3007858	2542-9	Lactate dehydrogenase 3/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis	Lab Test	Measurement	LOINC	Valid	Standard
3007869	32324-6	Lactate dehydrogenase [Enzymatic activity/volume] in Specimen	Lab Test	Measurement	LOINC	Valid	Standard
3008270	13889-1	Lactate dehydrogenase 4/Lactate dehydrogenase.total in Urine by Electrophoresis	Lab Test	Measurement	LOINC	Valid	Standard
