Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
1427862	R74.001	Elevated lactate dehydrogenase (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
958878	C565449	Erythrocyte Lactate Transporter Defect	Suppl Concept	Condition	MeSH	Valid	Non-standard
46256888	C580233	Lactate Dehydrogenase Deficiency	Suppl Concept	Condition	MeSH	Valid	Non-standard
46257102	C567009	Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation	Suppl Concept	Condition	MeSH	Valid	Non-standard
4031797	237982007	Lactate dehydrogenase deficiency	Clinical Finding	Condition	SNOMED	Valid	Standard
4053211	124659007	Deficiency of lactate racemase	Clinical Finding	Condition	SNOMED	Valid	Standard
4260394	4477007	Juvenile myopathy AND lactate acidosis	Clinical Finding	Condition	SNOMED	Valid	Standard
4286890	396697000	Serum lactate dehydrogenase level elevated	Clinical Finding	Condition	SNOMED	Valid	Standard
"35622051	763366000	Leukoencephalopathy, thalamus and brainstem anomalies, high lactate syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard"
35624124	766715000	Metabolic myopathy due to lactate transporter defect	Clinical Finding	Condition	SNOMED	Valid	Standard
42536504	735421004	Leukoencephalopathy with brain stem and spinal cord involvement and high lactate syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard
45766390	703537008	Leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation	Clinical Finding	Condition	SNOMED	Valid	Standard
4233284	358356000	Lactate free continuous hemodialysis solution	Pharma/Biol Product	Device	SNOMED	Valid	Standard
4233285	358358004	Lactate free hemofiltration solution	Pharma/Biol Product	Device	SNOMED	Valid	Standard
45764592	701310004	Lactate analyzer	Physical Object	Device	SNOMED	Valid	Standard
45773350	702243000	Lactate electrode	Physical Object	Device	SNOMED	Valid	Standard
2212427	83605	Lactate (lactic acid)	CPT4	Measurement	CPT4	Valid	Standard
"2212428	83615	Lactate dehydrogenase (LD), (LDH)	CPT4	Measurement	CPT4	Valid	Standard"
"2212429	83625	Lactate dehydrogenase (LD), (LDH); isoenzymes, separation and quantitation	CPT4	Measurement	CPT4	Valid	Standard"
"45889439	1014266	Lactate dehydrogenase (LD), (LDH)	CPT4 Hierarchy	Measurement	CPT4	Valid	Classification"
3002106	30241-4	Lactate [Mass/volume] in Venous blood	Lab Test	Measurement	LOINC	Valid	Standard
3002820	15078-9	Lactate [Moles/time] in 24 hour Urine	Lab Test	Measurement	LOINC	Valid	Standard
