Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45543333	K71.0	Toxic liver disease with cholestasis	ICD10 code	Condition	ICD10	Valid	Non-standard
45543334	K71.4	Toxic liver disease with chronic lobular hepatitis	ICD10 code	Condition	ICD10	Valid	Non-standard
"45543336	K71.6	Toxic liver disease with hepatitis, not elsewhere classified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45543337	K71.7	Toxic liver disease with fibrosis and cirrhosis of liver	ICD10 code	Condition	ICD10	Valid	Non-standard
45557670	K71	Toxic liver disease	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45557671	K71.1	Toxic liver disease with hepatic necrosis	ICD10 code	Condition	ICD10	Valid	Non-standard
"45557673	K71.9	Toxic liver disease, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45562509	K75.9	Inflammatory liver disease, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45572225	K71.5	Toxic liver disease with chronic active hepatitis	ICD10 code	Condition	ICD10	Valid	Non-standard
"45572233	K76.9	Liver disease, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45581911	K71.8	Toxic liver disease with other disorders of liver	ICD10 code	Condition	ICD10	Valid	Non-standard
45591605	K70	Alcoholic liver disease	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
45591606	K71.3	Toxic liver disease with chronic persistent hepatitis	ICD10 code	Condition	ICD10	Valid	Non-standard
"45605953	K70.9	Alcoholic liver disease, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45605954	K71.2	Toxic liver disease with acute hepatitis	ICD10 code	Condition	ICD10	Valid	Non-standard
1326775	P78.84	Gestational alloimmune liver disease	5-char billing code	Condition	ICD10CM	Valid	Non-standard
1569669	K70	Alcoholic liver disease	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569673	K71	Toxic liver disease	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569674	K71.1	Toxic liver disease with hepatic necrosis	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
1569675	K71.5	Toxic liver disease with chronic active hepatitis	4-char nonbill code	Condition	ICD10CM	Valid	Non-standard
"35208332	K70.9	Alcoholic liver disease, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35208333	K71.0	Toxic liver disease with cholestasis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35208334	K71.2	Toxic liver disease with acute hepatitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35208335	K71.3	Toxic liver disease with chronic persistent hepatitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35208336	K71.4	Toxic liver disease with chronic lobular hepatitis	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35208337	K71.6	Toxic liver disease with hepatitis, not elsewhere classified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35208338	K71.7	Toxic liver disease with fibrosis and cirrhosis of liver	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35208339	K71.8	Toxic liver disease with other disorders of liver	4-char billing code	Condition	ICD10CM	Valid	Non-standard
