Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45609997	Z94.2	Lung transplant status	ICD10 code	Condition	ICD10	Valid	Non-standard
1575314	T86.81	Complications of lung transplant	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
35225406	Z94.2	Lung transplant status	4-char billing code	Condition	ICD10CM	Valid	Non-standard
45551554	T86.811	Lung transplant failure	6-char billing code	Condition	ICD10CM	Valid	Non-standard
45585330	T86.818	Other complications of lung transplant	6-char billing code	Condition	ICD10CM	Valid	Non-standard
45590133	T86.810	Lung transplant rejection	6-char billing code	Condition	ICD10CM	Valid	Non-standard
45604589	T86.812	Lung transplant infection	6-char billing code	Condition	ICD10CM	Valid	Non-standard
45609396	T86.819	Unspecified complication of lung transplant	6-char billing code	Condition	ICD10CM	Valid	Non-standard
1431957	T86.803	Lung transplant rejection (machine translation)	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1435676	Z94.2	Lung transplant status	ICD10 code	Condition	ICD10CN	Valid	Non-standard
1435677	Z94.200	Lung transplant status	ICD10 code	Condition	ICD10CN	Valid	Non-standard
37097051	T86.81	Failure and rejection: lung transplant	ICD10 code	Condition	ICD10GM	Valid	Non-standard
37097285	Z94.2	Lung transplant status	ICD10 code	Condition	ICD10GM	Valid	Non-standard
44824847	996.84	Complications of transplanted lung	5-dig billing code	Condition	ICD9CM	Valid	Non-standard
44828541	V42.6	Lung replaced by transplant	4-dig billing V code	Condition	ICD9CM	Valid	Non-standard
765272	122501000119101	Lymphoproliferative disorder following lung transplant	Clinical Finding	Condition	SNOMED	Valid	Standard
765898	129781000119105	Neoplasia following lung transplant	Clinical Finding	Condition	SNOMED	Valid	Standard
4202145	432774005	Hyperacute rejection of lung transplant	Clinical Finding	Condition	SNOMED	Valid	Standard
4207623	312603000	Lung transplant rejection	Clinical Finding	Condition	SNOMED	Valid	Standard
4328973	431223003	Acute rejection of lung transplant	Clinical Finding	Condition	SNOMED	Valid	Standard
4330381	431507002	Accelerated rejection of lung transplant	Clinical Finding	Condition	SNOMED	Valid	Standard
4333202	432958009	Chronic rejection of lung transplant	Clinical Finding	Condition	SNOMED	Valid	Standard
40510820	312602005	Lung transplant disorder	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
44810057	885881000000108	Lung transplant recipient	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
45765759	702775001	Lung transplant recipient	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
21499493	LA25534-1	Cardio/pulm: Lung transplant	Answer	Meas Value	LOINC	Valid	Standard
36310010	LA28293-1	Lung transplant	Answer	Meas Value	LOINC	Valid	Standard
45585834	Z48.24	Encounter for aftercare following lung transplant	5-char billing code	Observation	ICD10CM	Valid	Non-standard
