Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
"44822765	V85.5	Body Mass Index, pediatric	4-dig nonbill V code	Condition	ICD9CM	Valid	Non-standard"
"44823911	V85.52	Body Mass Index, pediatric, 5th percentile to less than 85th percentile for age	5-dig billing V code	Condition	ICD9CM	Valid	Non-standard"
"44826272	V85.54	Body Mass Index, pediatric, greater than or equal to 95th percentile for age	5-dig billing V code	Condition	ICD9CM	Valid	Non-standard"
"44836725	V85.51	Body Mass Index, pediatric, less than 5th percentile for age	5-dig billing V code	Condition	ICD9CM	Valid	Non-standard"
36716529	722563003	Fetal or neonatal effect of maternal obesity with adult body mass index equal to or greater than 40	Clinical Finding	Condition	SNOMED	Valid	Standard
36717570	722562008	Fetal or neonatal effect of maternal obesity with adult body mass index 30 or greater but less than 40	Clinical Finding	Condition	SNOMED	Valid	Standard
45771484	705131003	Child at risk for overweight body mass index greater than 85 percentile	Clinical Finding	Condition	SNOMED	Valid	Standard
45764396	701072008	Bioelectrical body mass index analyzer	Physical Object	Device	SNOMED	Valid	Standard
1576151	Z68	Body mass index [BMI]	3-char nonbill code	Measurement	ICD10CM	Valid	Non-standard
1576154	Z68.5	Body mass index [BMI] pediatric	4-char nonbill code	Measurement	ICD10CM	Valid	Non-standard
"45552098	Z68.53	Body mass index [BMI] pediatric, 85th percentile to less than 95th percentile for age	5-char billing code	Measurement	ICD10CM	Valid	Non-standard"
"45581059	Z68.51	Body mass index [BMI] pediatric, less than 5th percentile for age	5-char billing code	Measurement	ICD10CM	Valid	Non-standard"
"45600349	Z68.52	Body mass index [BMI] pediatric, 5th percentile to less than 85th percentile for age	5-char billing code	Measurement	ICD10CM	Valid	Non-standard"
"45600350	Z68.54	Body mass index [BMI] pediatric, greater than or equal to 95th percentile for age	5-char billing code	Measurement	ICD10CM	Valid	Non-standard"
1002813	LP415677-6	Body mass index (BMI) | Patient | General body weight	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
3031543	41909-3	Deprecated Body mass index (BMI)	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3038553	39156-5	Body mass index (BMI) [Ratio]	Clinical Observation	Measurement	LOINC	Valid	Standard
36304833	89270-3	Body mass index (BMI) [Ratio] Estimated	Clinical Observation	Measurement	LOINC	Valid	Standard
40762636	59574-4	Body mass index (BMI) [Percentile]	Clinical Observation	Measurement	LOINC	Valid	Standard
40762637	59575-1	Body mass index (BMI) [Percentile] Per age	Clinical Observation	Measurement	LOINC	Valid	Standard
40762638	59576-9	Body mass index (BMI) [Percentile] Per age and sex	Clinical Observation	Measurement	LOINC	Valid	Standard
1036718	D015992	Body Mass Index	Main Heading	Measurement	MeSH	Valid	Non-standard
3558312	710091000000105	Body mass index centile	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3559132	813961000000107	World Health Organisation FRAX 10 year osteoporotic fracture probability score with body mass index	Staging / Scales	Measurement	SNOMED	Invalid	Non-standard
3559447	838451000000100	Target body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3559526	846921000000103	Baseline body mass index centile	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3559527	846941000000105	Baseline body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3559996	875771000000106	World Health Organisation FRAX 10 year hip fracture probability score with body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3559997	875781000000108	World Health Organisation FRAX 10 year osteoporotic fracture probability score with body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3560262	896701000000102	Child body mass index centile	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
3560821	926021000000107	Down's syndrome body mass index centile	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
4245997	60621009	Body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
35609809	1086301000000101	Framingham Cardiovascular Disease 10 year risk calculator score using BMI (Body Mass Index)	Observable Entity	Measurement	SNOMED	Valid	Standard
35610267	1091191000000102	Framingham Cardiovascular Disease 10 year risk calculator score using BMI (Body Mass Index) or lipids	Observable Entity	Measurement	SNOMED	Valid	Standard
35610394	1092661000000106	Ten year osteoporotic fracture probability score using FRAX (Fracture Risk Assessment Tool) with body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
35610396	1092681000000102	Ten year hip fracture probability score using FRAX (Fracture Risk Assessment Tool) with body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
37398925	715456008	Percentage median body mass index for age and sex	Observable Entity	Measurement	SNOMED	Valid	Standard
40298249	140075008	Body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
40329230	162859006	Body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
40490382	446974000	Body mass index centile	Observable Entity	Measurement	SNOMED	Valid	Standard
40540383	363807006	Body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
44783982	698094009	Measurement of body mass index	Procedure	Measurement	SNOMED	Valid	Standard
44806795	813981000000103	Ten year hip fracture probability score using World Health Organisation FRAX fracture risk assessment tool with body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
44807882	846911000000109	Baseline body mass index centile	Observable Entity	Measurement	SNOMED	Valid	Standard
44807883	846931000000101	Baseline body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
44807968	838441000000103	Target body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
44808736	841781000000106	Assessment using body mass index	Procedure	Measurement	SNOMED	Invalid	Non-standard
44809197	852451000000103	Maximum body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
44809198	852461000000100	Minimum body mass index	Observable Entity	Measurement	SNOMED	Valid	Standard
44810217	896691000000102	Child body mass index centile	Observable Entity	Measurement	SNOMED	Valid	Standard
44814078	813971000000100	Ten year osteoporotic fracture probability score using World Health Organisation FRAX fracture risk assessment tool with body mass index	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
45770289	926011000000101	Down syndrome body mass index centile	Observable Entity	Measurement	SNOMED	Valid	Standard
46286895	990291000000106	Percentage median body mass index for age and sex	Observable Entity	Measurement	SNOMED	Invalid	Non-standard
"40756859	3008F	Body Mass Index (BMI), documented (PV)	CPT4	Observation	CPT4	Valid	Standard"
"1576152	Z68.2	Body mass index [BMI] 20-29, adult	4-char nonbill code	Observation	ICD10CM	Valid	Non-standard"
"1576153	Z68.3	Body mass index [BMI] 30-39, adult	4-char nonbill code	Observation	ICD10CM	Valid	Non-standard"
"35225256	Z68.4	Body mass index [BMI] 40 or greater, adult	4-char nonbill code	Observation	ICD10CM	Valid	Non-standard"
"45547336	Z68.33	Body mass index [BMI] 33.0-33.9, adult	5-char billing code	Observation	ICD10CM	Valid	Non-standard"
"45552097	Z68.24	Body mass index [BMI] 24.0-24.9, adult	5-char billing code	Observation	ICD10CM	Valid	Non-standard"
"45566451	Z68.30	Body mass index [BMI]30.0-30.9, adult	5-char billing code	Observation	ICD10CM	Valid	Non-standard"
