Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
739100	824488	Acetaminophen 33.3 MG/ML / Dextromethorphan 1 MG/ML / Doxylamine 0.417 MG/ML / Phenylephrine 0.333 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
739989	2529640	lidocaine 40 MG/ML / phenylephrine hydrochloride 2.5 MG/ML Rectal Cream	Clinical Drug	Drug	RxNorm	Valid	Standard
740203	2533431	phenylephrine hydrochloride 0.1 MG/ML [Biorphen]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
740204	2533432	phenylephrine Injection [Biorphen]	Branded Drug Form	Drug	RxNorm	Valid	Standard
740206	2533435	phenylephrine hydrochloride 0.1 MG/ML Injection [Biorphen]	Branded Drug	Drug	RxNorm	Valid	Standard
740207	2533436	phenylephrine hydrochloride 10 MG/ML [Biorphen]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
740208	2533438	phenylephrine hydrochloride 10 MG/ML Injection [Biorphen]	Branded Drug	Drug	RxNorm	Valid	Standard
740210	2472139	{6 (acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet) / 4 (acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG / phenylephrine hydrochloride 5 MG Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
740211	2472140	{12 (acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet) / 8 (acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG / phenylephrine hydrochloride 5 MG Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
740212	2472141	{24 (acetaminophen 325 MG / dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet) / 16 (acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG / phenylephrine hydrochloride 5 MG Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
740214	2475194	{16 (acetaminophen 325 MG / diphenhydramine hydrochloride 12.5 MG / phenylephrine hydrochloride 5 MG Oral Tablet) / 24 (dextromethorphan hydrobromide 10 MG / guaifenesin 200 MG / phenylephrine hydrochloride 5 MG Oral Tablet) } Pack	Clinical Pack	Drug	RxNorm	Valid	Standard
740268	2533434	5 ML phenylephrine hydrochloride 0.1 MG/ML Injection [Biorphen]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
740269	2533437	1 ML phenylephrine hydrochloride 10 MG/ML Injection [Biorphen]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
789838	2167675	dextromethorphan hydrobromide 30 MG / guaifenesin 1000 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
789870	2167730	brompheniramine maleate 0.8 MG/ML / dextromethorphan hydrobromide 6 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
789875	2167740	chlorpheniramine maleate 0.133 MG/ML / dextromethorphan hydrobromide 0.333 MG/ML / phenylephrine hydrochloride 0.333 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
789876	2167750	chlorpheniramine maleate 0.8 MG/ML / dextromethorphan hydrobromide 6 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
789877	2167752	chlorpheniramine maleate 4 MG / dextromethorphan hydrobromide 20 MG / phenylephrine hydrochloride 10 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
789884	2167784	dextromethorphan hydrobromide 28 MG / guaifenesin 388 MG / phenylephrine hydrochloride 10 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
