Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
1146889	251947	piroxicam 10 MG / prednisone 2 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551099	8640	prednisone	Ingredient	Drug	RxNorm	Valid	Standard
1551100	198144	prednisone 1 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551101	198145	prednisone 10 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551122	198146	prednisone 2.5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551123	198148	prednisone 50 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551170	312615	prednisone 20 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551171	312616	prednisone 25 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551192	312617	prednisone 5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
1551193	315187	prednisone 1 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
1551195	316581	prednisone 2.5 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551196	316582	prednisone 20 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551197	316583	prednisone 25 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551198	316584	prednisone 5 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551199	316585	prednisone 5 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551200	316586	prednisone 50 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551201	317475	prednisone 1 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551232	317663	prednisone 10 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551233	335473	prednisone 2 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1551234	351399	prednisone 5 MG Oral Tablet [Prednicot]	Branded Drug	Drug	RxNorm	Valid	Standard
19007010	105412	prednisone 5 MG Oral Tablet [Decortisyl]	Branded Drug	Drug	RxNorm	Valid	Standard
19024533	201082	prednisone 1 MG Oral Tablet [Econosone]	Branded Drug	Drug	RxNorm	Valid	Standard
19024534	201083	prednisone 5 MG Oral Tablet [Econosone]	Branded Drug	Drug	RxNorm	Valid	Standard
19028933	205301	prednisone 5 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19031623	206199	prednisone 1 MG/ML Oral Solution [Liquid Pred]	Branded Drug	Drug	RxNorm	Valid	Standard
19033379	206754	prednisone 1 MG Oral Tablet [Meticorten]	Branded Drug	Drug	RxNorm	Valid	Standard
19033380	206755	prednisone 1 MG Oral Tablet [Orasone]	Branded Drug	Drug	RxNorm	Valid	Standard
