Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45757881	462283006	Pulse oximetry telemetric monitoring system receiver	Physical Object	Device	SNOMED	Valid	Standard
45757945	462385001	Pulse oximetry telemetric monitoring system transmitter	Physical Object	Device	SNOMED	Valid	Standard
45758059	462558007	Pulse oximetry telemetric monitoring system	Physical Object	Device	SNOMED	Valid	Standard
"45758197	462761006	Patient monitoring system module, pulse oximetry	Physical Object	Device	SNOMED	Valid	Standard"
36308002	LA24027-7	Pulse oximetry	Answer	Meas Value	LOINC	Valid	Standard
"2212349	82805	Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry	CPT4	Measurement	CPT4	Valid	Standard"
"2212350	82810	Gases, blood, O2 saturation only, by direct measurement, except pulse oximetry	CPT4	Measurement	CPT4	Valid	Standard"
3000703	19948-9	Deprecated Fractional oxyhemoglobin in 8 hour maximum by Pulse oximetry	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3001213	19954-7	Deprecated Fractional oxyhemoglobin in Blood Postductal by Pulse oximetry	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3001376	8889-8	Heart rate by Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
3001407	19960-4	Deprecated Fractional oxyhemoglobin by Pulse oximetry --on room air	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3002881	19952-1	Deprecated Fractional oxyhemoglobin in Blood Preductal by Pulse oximetry	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3005299	19950-5	Deprecated Fractional oxyhemoglobin in 8 hour minimum by Pulse oximetry	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3008093	19968-7	Deprecated Fractional oxyhemoglobin by Pulse oximetry --pre physiotherapy	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3013491	19966-1	Deprecated Fractional oxyhemoglobin by Pulse oximetry --pre bronchodilation	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3020245	19958-8	Deprecated Fractional oxyhemoglobin by Pulse oximetry --during treatment	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3034524	19956-2	Deprecated Fractional oxyhemoglobin by Pulse oximetry --during bronchodilation	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3035417	19962-0	Deprecated Fractional oxyhemoglobin by Pulse oximetry --post bronchodilation	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3035918	19964-6	Deprecated Fractional oxyhemoglobin by Pulse oximetry --post treatment	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3037403	19970-3	Deprecated Fractional oxyhemoglobin by Pulse oximetry --pre treatment	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3038280	40591-0	Deprecated Fractional oxyhemoglobin by Pulse oximetry --post exercise	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3041279	40592-8	Deprecated Fractional oxyhemoglobin by Pulse oximetry --resting	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
3042971	44616-1	Deprecated Pulse oximetry panel	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
21492229	76520-6	Transmission.infrared Arterial blood Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
21492230	76521-4	Transmission.red Arterial blood Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
21492231	76522-2	Transmission Arterial blood Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
21492232	76523-0	Plethysmogram Arterial blood Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
36303575	89272-9	Oxygen saturation in Arterial blood by Pulse oximetry --during apnea	Lab Test	Measurement	LOINC	Invalid	Non-standard
36304254	89277-8	Oxygen saturation in Arterial blood by Pulse oximetry --during anesthesia	Lab Test	Measurement	LOINC	Valid	Standard
36305056	86904-0	Carboxyhemoglobin/Hemoglobin.total in Arterial blood by Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
36305237	89276-0	Oxygen saturation in Arterial blood by Pulse oximetry --W exercise	Lab Test	Measurement	LOINC	Valid	Standard
37066329	LP409177-5	Pulse oximetry site | * | Respiratory measures and Ventilator management	LOINC Hierarchy	Measurement	LOINC	Valid	Classification
40762496	59405-1	Oxygen saturation (8 hour maximum) in Arterial blood Pulse oximetry	Clinical Observation	Measurement	LOINC	Valid	Standard
