Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45880900	LA20744-1	More than one race	Answer	Meas Value	LOINC	Valid	Standard
45882402	LA14050-1	Some Other Race (specify)	Answer	Meas Value	LOINC	Valid	Standard
45883399	LA15895-8	Heart race	Answer	Meas Value	LOINC	Valid	Standard
45883946	LA15576-4	Your race	Answer	Meas Value	LOINC	Valid	Standard
3006509	21835-4	Coding system.current Race	Clinical Observation	Measurement	LOINC	Valid	Standard
3022647	21836-2	Coding system.original Race	Clinical Observation	Measurement	LOINC	Valid	Standard
36203776	86800-0	Coded race and ethnicity - recommended CDA R1 sections	Clinical Observation	Measurement	LOINC	Valid	Standard
40759173	56052-4	Deprecated PhenX measure - race	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
40765769	63037-6	Deprecated PhenX measure - race - ethnic residential segregation	Clinical Observation	Measurement	LOINC	Invalid	Non-standard
40765770	63038-4	PhenX - race - ethnic residential segregation protocol 211401	Clinical Observation	Measurement	LOINC	Valid	Standard
1005839	LP112590-7	PhenX measure - race - ethnic residential segregation	LOINC Component	Observation	LOINC	Invalid	Non-standard
1005840	LP112591-5	PhenX - race - ethnic residential segregation protocol 211401	LOINC Component	Observation	LOINC	Valid	Non-standard
1009423	LP133783-3	Some other race alone	LOINC Component	Observation	LOINC	Valid	Non-standard
1010195	LP136353-2	Race - 2 character code	LOINC Component	Observation	LOINC	Valid	Non-standard
1010324	LP140497-1	Bothered by feeling your heart pound or race in last 4 weeks	LOINC Component	Observation	LOINC	Valid	Non-standard
"1010349	LP140522-6	Did your heart race, pound, or skip	LOINC Component	Observation	LOINC	Valid	Non-standard"
"1010414	LP145537-9	Race, ethnicity, sex, primary language, disability - Health and Human Services (HHS) panel	LOINC Component	Observation	LOINC	Valid	Non-standard"
1013075	LP188941-1	Race or ethnicity panel	LOINC Component	Observation	LOINC	Valid	Non-standard
1014791	LP207548-1	Bridged race	LOINC Component	Observation	LOINC	Valid	Non-standard
1014792	LP207549-9	Tabulated race	LOINC Component	Observation	LOINC	Valid	Non-standard
1016617	LP249690-1	Coded race and ethnicity - recommended CDA R1 sections	LOINC Component	Observation	LOINC	Valid	Non-standard
1016963	LP262276-1	Race and ethnicity information	LOINC Component	Observation	LOINC	Valid	Non-standard
1030008	LP71009-2	Race	LOINC Component	Observation	LOINC	Valid	Non-standard
1032799	LP7528-5	Race	LOINC System	Observation	LOINC	Valid	Non-standard
1033012	LP75483-5	Race or ethnicity	LOINC Component	Observation	LOINC	Valid	Non-standard
1034411	LP95291-8	PhenX measure - race	LOINC Component	Observation	LOINC	Invalid	Non-standard
3022828	21484-1	Mother's race	Clinical Observation	Observation	LOINC	Valid	Standard
3040025	54134-2	Race [USSG-FHT]	Survey	Observation	LOINC	Valid	Standard
3046853	32624-9	Race	Clinical Observation	Observation	LOINC	Valid	Standard
3050381	46463-6	Race or ethnicity	Clinical Observation	Observation	LOINC	Valid	Standard
3051279	53720-9	Race NAPIIA	Clinical Observation	Observation	LOINC	Valid	Standard
3051580	54119-3	Race Family member [USSG-FHT]	Survey	Observation	LOINC	Valid	Standard
21494072	80906-1	Bridged race [CDC]	Survey	Observation	LOINC	Valid	Standard
21494232	80977-2	Tabulated race [CDC]	Survey	Observation	LOINC	Valid	Standard
21494575	81887-2	Provider race OMB.1997	Clinical Observation	Observation	LOINC	Valid	Standard
36203781	86805-9	Race and ethnicity information Document	Clinical Observation	Observation	LOINC	Valid	Standard
36303307	88120-1	Father's Bridged race [CDC]	Survey	Observation	LOINC	Valid	Standard
36306172	88119-3	Mother's Bridged race [CDC]	Survey	Observation	LOINC	Valid	Standard
40759212	56091-2	Race [PhenX]	Clinical Observation	Observation	LOINC	Valid	Standard
40762453	59362-4	Race or ethnicity OMB.1997	Clinical Observation	Observation	LOINC	Valid	Standard
40767312	64606-7	Race - 2 character code [PhenX]	Clinical Observation	Observation	LOINC	Valid	Standard
"40767632	64931-9	When frightened, my heart beats fast [SCARED-R]	Clinical Observation	Observation	LOINC	Valid	Standard"
40767687	64987-1	Race or ethnicity Family member [PhenX]	Clinical Observation	Observation	LOINC	Valid	Standard
40769917	67288-1	Race or ethnicity [The Position Generator]	Clinical Observation	Observation	LOINC	Valid	Standard
40770363	67755-9	Some other race alone [#] Census tract	Clinical Observation	Observation	LOINC	Valid	Standard
40772105	69679-9	Bothered by feeling your heart pound or race in last 4 weeks [Reported.PHQ]	Survey	Observation	LOINC	Valid	Standard
"40772132	69706-0	Did your heart race, pound, or skip [Reported.PHQ]	Survey	Observation	LOINC	Valid	Standard"
42868352	69855-5	Race [HHS.ACA Section 4302]	Survey	Observation	LOINC	Valid	Standard
"42868410	69919-9	Race, ethnicity, sex, primary language, disability - Health and Human Services (HHS) panel [HHS.ACA Section 4302]	Survey	Observation	LOINC	Valid	Standard"
43055686	72826-1	Race OMB.1997	Clinical Observation	Observation	LOINC	Valid	Standard
44816591	74693-3	Race [AHRQ]	Survey	Observation	LOINC	Valid	Standard
46234816	76362-3	Race or ethnicity panel [NMMDS]	Survey	Observation	LOINC	Valid	Standard
46234956	76663-4	Race or ethnicity of Provider [NMMDS]	Survey	Observation	LOINC	Valid	Standard
46235838	76363-1	Licensed nursing personnel [#] by race or ethnicity [NMMDS]	Survey	Observation	LOINC	Valid	Standard
3563128	332851000000103	Race relations	Admin Concept	Observation	SNOMED	Invalid	Non-standard
4013886	103579009	Race	Observable Entity	Observation	SNOMED	Valid	Standard
4053490	242161009	Accident to motorcycle during race on closed public road	Clinical Finding	Observation	SNOMED	Valid	Standard
4053622	242160005	Accident to car during race on closed public road	Clinical Finding	Observation	SNOMED	Valid	Standard
4212322	414807004	National surgical quality improvement program defined race	Observable Entity	Observation	SNOMED	Valid	Standard
40539031	365451008	Race - finding	Clinical Finding	Observation	SNOMED	Invalid	Non-standard
44803748	722541000000100	Race relations	Qualifier Value	Observation	SNOMED	Valid	Standard
45771337	703506008	Clearance calculation relative to 1.73 square meters body surface area and adjusted for African race	Qualifier Value	Observation	SNOMED	Valid	Standard
45773092	703507004	Clearance calculation relative to 1.73 square meters body surface area and adjusted for non-African race	Qualifier Value	Observation	SNOMED	Valid	Standard
759814	10241000175103	Ethnic group unknown	Social Context	Race	SNOMED	Valid	Non-standard
3551116	85871000000107	Bosnian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551117	85881000000109	Punjabi - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551118	85891000000106	Chinese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551119	85901000000107	Ethnic category not stated - 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551131	86191000000107	Welsh - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551132	86201000000109	Serbian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551133	86211000000106	Other - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551134	86221000000100	Ethnic category not stated - 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551477	98251000000105	Ethnic category - 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551478	98261000000108	British or mixed British - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551479	98271000000101	Irish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551480	98281000000104	Other White background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551481	98291000000102	English - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551482	98301000000103	Scottish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551483	98321000000107	Northern Irish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551484	98331000000109	Ulster Scots - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551485	98341000000100	Cypriot (part not stated) - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551486	98351000000102	Greek - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
