Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
45534418	Q98.6	Male with structurally abnormal sex chromosome	ICD10 code	Condition	ICD10	Valid	Non-standard
"45534419	Q98.8	Other specified sex chromosome abnormalities, male phenotype	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45539284	Q56.4	Indeterminate sex, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45544127	Q97.8	Other specified sex chromosome abnormalities, female phenotype	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45553710	Q97.9	Sex chromosome abnormality, female phenotype, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45553711	Q98.9	Sex chromosome abnormality, male phenotype, unspecified	ICD10 code	Condition	ICD10	Valid	Non-standard"
45563281	Q95.3	Balanced sex/autosomal rearrangement in abnormal individual	ICD10 code	Condition	ICD10	Valid	Non-standard
"45563284	Q97	Other sex chromosome abnormalities, female phenotype, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard"
"45568103	Q96.2	Karyotype 46,X with abnormal sex chromosome, except iso (Xq)	ICD10 code	Condition	ICD10	Valid	Non-standard"
"45568105	Q96.4	Mosaicism, 45,X/other cell line(s) with abnormal sex chromosome	ICD10 code	Condition	ICD10	Valid	Non-standard"
45568107	Q98.7	Male with sex chromosome mosaicism	ICD10 code	Condition	ICD10	Valid	Non-standard
45592379	Q56	Indeterminate sex and pseudohermaphroditism	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard
"45592402	Q98	Other sex chromosome abnormalities, male phenotype, not elsewhere classified	ICD10 Hierarchy	Condition	ICD10	Valid	Non-standard"
1572106	Q56	Indeterminate sex and pseudohermaphroditism	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard
"1572183	Q97	Other sex chromosome abnormalities, female phenotype, not elsewhere classified	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard"
"1572184	Q98	Other sex chromosome abnormalities, male phenotype, not elsewhere classified	3-char nonbill code	Condition	ICD10CM	Valid	Non-standard"
"35211011	Q56.4	Indeterminate sex, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35211230	Q95.3	Balanced sex/autosomal rearrangement in abnormal individual	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35211236	Q96.2	Karyotype 46, X with abnormal sex chromosome, except iso (Xq)	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35211238	Q96.4	Mosaicism, 45, X/other cell line(s) with abnormal sex chromosome	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35211245	Q97.8	Other specified sex chromosome abnormalities, female phenotype	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35211246	Q97.9	Sex chromosome abnormality, female phenotype, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
35211252	Q98.6	Male with structurally abnormal sex chromosome	4-char billing code	Condition	ICD10CM	Valid	Non-standard
35211253	Q98.7	Male with sex chromosome mosaicism	4-char billing code	Condition	ICD10CM	Valid	Non-standard
"35211254	Q98.8	Other specified sex chromosome abnormalities, male phenotype	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"35211255	Q98.9	Sex chromosome abnormality, male phenotype, unspecified	4-char billing code	Condition	ICD10CM	Valid	Non-standard"
"1402779	M85910/1	Sex cord-gonadal stromal tumor, incompletely differentiated	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard"
"1402780	M85920/1	Sex cord-gonadal stromal tumor, mixed forms	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard"
"1402781	M85900/1	Sex cord-gonadal stromal tumor, NOS	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard"
1402782	M86230/1	Sex cord tumor with annular tubules	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
1402850	M85930/1	Stromal tumor with minor sex cord elements	ICD10 Histology	Condition	ICD10CN	Valid	Non-standard
