Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
902722	10627	tobramycin	Ingredient	Drug	RxNorm	Valid	Standard
902723	198288	tobramycin 80 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902732	213194	tobramycin 60 MG/ML Inhalation Solution [Tobi]	Branded Drug	Drug	RxNorm	Valid	Standard
902733	241514	tobramycin 1.6 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902734	242824	tobramycin 1 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902735	242825	50 ML tobramycin 1.2 MG/ML Injection	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
902736	245246	tobramycin 60 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902737	285121	tobramycin 3 MG/ML Ophthalmic Solution [Tomycine]	Branded Drug	Drug	RxNorm	Valid	Standard
902740	313414	tobramycin 0.003 MG/MG Ophthalmic Ointment	Clinical Drug	Drug	RxNorm	Valid	Standard
902741	313415	tobramycin 3 MG/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902762	313416	tobramycin 10 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902766	323975	tobramycin 3 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
902767	328612	tobramycin 0.003 MG/MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
902769	328622	tobramycin 40 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
902770	328636	tobramycin 1.6 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
902804	333393	tobramycin 80 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
902806	348719	tobramycin 60 MG/ML Inhalation Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
902807	597823	tobramycin 40 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
955630	648233	Fluorometholone 1 MG/ML / Tobramycin 3 MG/ML Ophthalmic Suspension	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
955631	688249	Fluorometholone 1 MG/ML / Tobramycin 3 MG/ML Ophthalmic Suspension [Tobraflex]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
967569	545255	loteprednol etabonate 5 MG/ML / tobramycin 3 MG/ML Ophthalmic Suspension	Clinical Drug	Drug	RxNorm	Valid	Standard
967570	545259	loteprednol etabonate 5 MG/ML / tobramycin 3 MG/ML Ophthalmic Suspension [Zylet]	Branded Drug	Drug	RxNorm	Valid	Standard
992129	485595	Loteprednol 5 MG/ML / Tobramycin 3 MG/ML Ophthalmic Suspension	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1356252	2108548	tobramycin Inhalation Solution	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1356253	2108550	tobramycin Inhalation Solution [Kitabis]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1356254	2108552	tobramycin Inhalation Solution [Tobi]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1356255	2108555	tobramycin Inhalation Solution [Bethkis]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1356265	2108575	tobramycin Inhalation Powder	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1356266	2108578	tobramycin Inhalation Powder [Tobi]	Branded Drug Form	Drug	RxNorm	Valid	Standard
19005641	688247	Fluorometholone 1 MG/ML / Tobramycin 3 MG/ML [Tobraflex]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19006649	105245	tobramycin 10 MG/ML Injectable Solution [Nebcin]	Branded Drug	Drug	RxNorm	Valid	Standard
