Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
434670	48347002	Humidifier lung	Clinical Finding	Condition	SNOMED	Valid	Standard
3541704	697271000000109	Ventilation therapy complication NEC	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4007396	207454008	[D]Ventilation capacity reduced	Context-dependent	Condition	SNOMED	Invalid	Non-standard
4027549	128258000	Ventilation finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4031379	129896002	Artificial ventilation finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4031891	129895003	Impaired spontaneous ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4034714	15128004	Regional ventilation differences due to unequal bronchial pathway lengths	Clinical Finding	Condition	SNOMED	Valid	Standard
4038399	16328001	Regional ventilation differences due to unequal stress	Clinical Finding	Condition	SNOMED	Valid	Standard
4082419	247253001	Ventilation tube in tympanic membrane	Clinical Finding	Condition	SNOMED	Valid	Standard
4084312	241700002	Spontaneous respiration	Clinical Finding	Condition	SNOMED	Valid	Standard
4090402	247252006	Tympanic ventilation tube in external ear canal	Clinical Finding	Condition	SNOMED	Valid	Standard
4101078	300161000	Ventilation tube not present	Clinical Finding	Condition	SNOMED	Valid	Standard
4102891	300160004	Ventilation tube finding	Clinical Finding	Condition	SNOMED	Valid	Standard
4106382	29804008	Regional ventilation differences due to pleural pressure	Clinical Finding	Condition	SNOMED	Valid	Standard
4142305	306938008	Ventilation tube obscured by wax	Clinical Finding	Condition	SNOMED	Valid	Standard
4144767	306937003	Ventilation tube patent	Clinical Finding	Condition	SNOMED	Valid	Standard
4144970	33950005	Regional ventilation differences due to gravity	Clinical Finding	Condition	SNOMED	Valid	Standard
4172524	277173008	Ventilation tube blocked	Clinical Finding	Condition	SNOMED	Valid	Standard
4175336	42676002	Regional ventilation differences due to local airway resistance	Clinical Finding	Condition	SNOMED	Valid	Standard
4180290	429487005	Dependence on continuous positive airway pressure ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4182570	429767005	Chronic otitis media after insertion of tympanic ventilation tube	Clinical Finding	Condition	SNOMED	Valid	Standard
4198216	80249004	Normal distribution of ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4218677	39688001	Unequal ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4219586	397852001	V/Q - Ventilation/perfusion ratio	Clinical Finding	Condition	SNOMED	Valid	Standard
4243929	38212005	Decreased maximal voluntary ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4247017	61335007	Regional ventilation differences	Clinical Finding	Condition	SNOMED	Valid	Standard
4258126	440368003	Complication of retained tympanic ventilation tube	Clinical Finding	Condition	SNOMED	Valid	Standard
4262306	397802005	Minute ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4271938	36491007	Abnormal distribution of ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4277183	36880005	Increased maximal voluntary ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4281387	66244005	Regional ventilation differences due to unequal compliance	Clinical Finding	Condition	SNOMED	Valid	Standard
4308846	213336001	Ventilation therapy complication NEC	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
4325601	71695001	Complication of ventilation therapy	Clinical Finding	Condition	SNOMED	Valid	Standard
4327886	429091008	Dependence on biphasic positive airway pressure ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
4337687	87377007	Normal maximal voluntary ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
35622017	763326004	Difficult mask ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
35624174	766781004	Difficult supraglottic airway ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
36685082	1083401000119107	Bilateral chronic otitis media of ears following insertion of tympanic ventilation tube	Clinical Finding	Condition	SNOMED	Valid	Standard
36685146	1088531000119109	Chronic otitis media of left ear following insertion of tympanic ventilation tube	Clinical Finding	Condition	SNOMED	Valid	Standard
36685217	1091141000119103	Chronic otitis media of right ear following insertion of tympanic ventilation tube	Clinical Finding	Condition	SNOMED	Valid	Standard
37017389	713655003	Dependence on non-invasive ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
37397717	718446005	Unexpected difficult airway	Clinical Finding	Condition	SNOMED	Valid	Standard
40289171	128257005	Ventilation-perfusion finding	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40320917	158644009	[D]Ventilation capacity reduced	Context-dependent	Condition	SNOMED	Invalid	Non-standard
40462586	250809008	Ventilation finding	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
40481308	441918007	Maximal voluntary ventilation capacity below reference range	Clinical Finding	Condition	SNOMED	Valid	Standard
42535241	16419651000119103	Dependence on biphasic positive airway pressure ventilation due to central sleep apnea syndrome	Clinical Finding	Condition	SNOMED	Valid	Standard
44790840	240591000000102	Problem with artificial ventilation	Clinical Finding	Condition	SNOMED	Valid	Standard
44797381	431411000000104	[V]Respirator dependence	Context-dependent	Condition	SNOMED	Invalid	Non-standard
44802203	501141000000106	[D]Ventilation capacity reduced	Context-dependent	Condition	SNOMED	Invalid	Non-standard
45770587	931611000000103	Dependence on non-invasive ventilation	Clinical Finding	Condition	SNOMED	Invalid	Non-standard
46273524	60631000119109	Dependence on home ventilator	Clinical Finding	Condition	SNOMED	Valid	Standard
4218005	416735007	Tympanic ventilation tube	Physical Object	Device	SNOMED	Valid	Standard
37018243	714691004	Jet ventilation device	Physical Object	Device	SNOMED	Valid	Standard
37018244	714692006	Variable pressure jet ventilation device	Physical Object	Device	SNOMED	Valid	Standard
37018287	714742004	Bronchoscope intubation catheter with ventilation connector	Physical Object	Device	SNOMED	Valid	Standard
37018820	714693001	Fixed pressure jet ventilation device	Physical Object	Device	SNOMED	Valid	Standard
37396498	716332000	Manual jet ventilation device	Physical Object	Device	SNOMED	Valid	Standard
40486648	449301000	Endotracheal ventilation catheter	Physical Object	Device	SNOMED	Valid	Standard
"45760156	465749007	Ventilator IMV supplemental circuit, single-use	Physical Object	Device	SNOMED	Valid	Standard"
45760274	465921009	Ventilation rocking bed	Physical Object	Device	SNOMED	Valid	Standard
"45760386	466084007	Ventilator IMV supplemental circuit, reusable	Physical Object	Device	SNOMED	Valid	Standard"
45771725	465359005	Ventilator IMV controller	Physical Object	Device	SNOMED	Valid	Standard
45773232	700604003	High-frequency ventilation endotracheal tube	Physical Object	Device	SNOMED	Valid	Standard
"1035133	LA30353-9	Yes, on invasive mechanical ventilation support upon admission	Answer	Meas Value	LOINC	Valid	Standard"
36308106	LA29247-6	Assist-control ventilation	Answer	Meas Value	LOINC	Valid	Standard
"36308277	LA28333-5	Fully liberated at discharge (i.e., patient did not require any invasive mechanical ventilation support for at least 2 consecutive calendar days immediately prior to discharge)	Answer	Meas Value	LOINC	Valid	Standard"
36308445	LA29246-8	Controlled ventilation	Answer	Meas Value	LOINC	Valid	Standard
"36308558	LA28329-3	No, not on invasive mechanical ventilation support	Answer	Meas Value	LOINC	Valid	Standard"
"36308727	LA28332-7	Not fully liberated at discharge (i.e., patient required partial or full invasive mechanical ventilation support within 2 calendar days prior to discharge)	Answer	Meas Value	LOINC	Valid	Standard"
36308817	LA9366-1	Respiratory assistance with manual or mechanical ventilation	Answer	Meas Value	LOINC	Valid	Standard
36309327	LA28954-8	Positioning: Positioning to maximize ventilation	Answer	Meas Value	LOINC	Valid	Standard
"36309737	LA28956-3	Supplemental oxygen therapy: Techniques to maximize ventilation (e.g., inspiratory hold maneuver, staircase breathing, manual hyperinflation, incentive spirometry)	Answer	Meas Value	LOINC	Valid	Standard"
36310227	LA29245-0	Mandatory minute ventilation	Answer	Meas Value	LOINC	Valid	Standard
36662288	LA30819-9	Assisted bag-mask ventilation	Answer	Meas Value	LOINC	Valid	Standard
