Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
792822	1987011	vitamin A Sublingual Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
792823	1987012	vitamin A Sublingual Tablet	Clinical Drug Form	Drug	RxNorm	Valid	Standard
792824	1987013	retinol acetate 10000 UNT Sublingual Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
993832	797463	ascorbic acid 80 MG / biotin 0.03 MG / calcium carbonate 200 MG / cupric oxide 3 MG / ferrous fumarate 60 MG / folic acid 1 MG / magnesium oxide 100 MG / niacinamide 17 MG / pantothenic acid 7 MG / riboflavin 1.6 MG / thiamine 1.5 MG / vitamin A 4000 U...	Clinical Drug	Drug	RxNorm	Valid	Standard
993833	797654	ascorbic acid 80 MG / biotin 0.03 MG / calcium carbonate 200 MG / cupric oxide 3 MG / ferrous fumarate 60 MG / folic acid 1 MG / magnesium oxide 100 MG / niacinamide 17 MG / pantothenic acid 7 MG / riboflavin 1.6 MG / thiamine 1.5 MG / vitamin A 4000 U...	Branded Drug	Drug	RxNorm	Valid	Standard
1145917	2371750	ascorbic acid / calcium carbonate / cholecalciferol / copper sulfate / ferrous fumarate / folic acid / magnesium oxide / niacinamide / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc sulfate Oral Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145918	2371751	ascorbic acid / calcium carbonate / cholecalciferol / copper sulfate / ferrous fumarate / folic acid / magnesium oxide / niacinamide / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc sulfate Pill	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145919	2371752	ascorbic acid / calcium carbonate / cholecalciferol / copper sulfate / ferrous fumarate / folic acid / magnesium oxide / niacinamide / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc sulfate Oral Tablet	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1145921	2371756	ascorbic acid / calcium carbonate / cholecalciferol / copper sulfate / ferrous fumarate / folic acid / magnesium oxide / niacinamide / potassium iodide / pyridoxine / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin E / zinc sulfate Oral Table...	Branded Drug Form	Drug	RxNorm	Valid	Standard
1145934	2371776	vitamin A 0.75 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1145935	2371777	ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Chewable Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145936	2371778	ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Oral Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145937	2371779	ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Pill	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145938	2371780	ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Chewable Tablet	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1145939	2371783	ascorbic acid 60 MG / cholecalciferol 0.01 MG / folic acid 0.3 MG / niacin 13.5 MG / riboflavin 1.2 MG / sodium fluoride 2.2 MG / thiamine 1.05 MG / vitamin A 0.75 MG / vitamin B12 0.0045 MG / vitamin B6 1.05 MG / vitamin E 15 UNT [MVC-Fluoride]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
1145940	2371784	ascorbic acid / cholecalciferol / folic acid / niacin / riboflavin / sodium fluoride / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Chewable Tablet [MVC-Fluoride]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1145942	2371788	ascorbic acid / cholecalciferol / ferrous sulfate / niacin / riboflavin / thiamine / vitamin A / vitamin B6 / vitamin E Oral Liquid Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145943	2371789	ascorbic acid / cholecalciferol / ferrous sulfate / niacin / riboflavin / thiamine / vitamin A / vitamin B6 / vitamin E Oral Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145944	2371790	ascorbic acid / cholecalciferol / ferrous sulfate / niacin / riboflavin / thiamine / vitamin A / vitamin B6 / vitamin E Oral Solution	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1145945	2371793	ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / ferrous sulfate 50 MG/ML / niacin 8 MG/ML / riboflavin 0.6 MG/ML / thiamine 0.5 MG/ML / vitamin A 0.45 MG/ML / vitamin B6 0.4 MG/ML / vitamin E 2.25 MG/ML [Poly-Vi-Sol with Iron]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
1145946	2371794	ascorbic acid / cholecalciferol / ferrous sulfate / niacin / riboflavin / thiamine / vitamin A / vitamin B6 / vitamin E Oral Solution [Poly-Vi-Sol with Iron]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1145947	2371797	ascorbic acid / cholecalciferol / niacin / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Oral Liquid Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145948	2371798	ascorbic acid / cholecalciferol / niacin / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Oral Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145949	2371799	ascorbic acid / cholecalciferol / niacin / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Oral Solution	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1145950	2371802	ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / niacin 8 MG/ML / riboflavin 0.6 MG/ML / thiamine 0.5 MG/ML / vitamin A 0.45 MG/ML / vitamin B12 0.002 MG/ML / vitamin B6 0.4 MG/ML / vitamin E 2.25 MG/ML [Poly-Vi-Sol]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
1145951	2371803	ascorbic acid / cholecalciferol / niacin / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Oral Solution [Poly-Vi-Sol]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1145952	2371805	vitamin A 0.24 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1145961	2371956	ascorbic acid / cholecalciferol / sodium fluoride / vitamin A Chewable Product	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145962	2371957	ascorbic acid / cholecalciferol / sodium fluoride / vitamin A Pill	Clinical Dose Group	Drug	RxNorm	Valid	Classification
1145963	2371958	ascorbic acid / cholecalciferol / sodium fluoride / vitamin A Chewable Tablet	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1145966	2371965	vitamin A 0.375 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
1592659	1872465	vitamin A Injection	Clinical Drug Form	Drug	RxNorm	Valid	Standard
1592660	1872467	vitamin A Injection [Aquasol A]	Branded Drug Form	Drug	RxNorm	Valid	Standard
1592661	1872469	vitamin A 50000 UNT/ML Injection	Clinical Drug	Drug	RxNorm	Valid	Standard
1592662	1872470	vitamin A 50000 UNT/ML Injection [Aquasol A]	Branded Drug	Drug	RxNorm	Valid	Standard
1718198	1813433	vitamin A myristate	Precise Ingredient	Drug	RxNorm	Valid	Non-standard
1780654	248348	Iodine 0.225 MG / Vitamin A 2000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008339	11246	vitamin A	Ingredient	Drug	RxNorm	Valid	Standard
19008412	198888	vitamin A 5000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19008413	198889	Vitamin A 50000 IU/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008419	212594	vitamin A 50000 UNT/ML Ophthalmic Solution [Viva-Drops]	Branded Drug	Drug	RxNorm	Valid	Standard
19008420	213115	vitamin A 50000 UNT/ML Oral Solution [Aquasol A]	Branded Drug	Drug	RxNorm	Valid	Standard
19008461	243795	vitamin A 10000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19008462	245482	Vitamin A 3000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008463	245483	Vitamin A 5000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008464	245484	Vitamin A 1000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008465	245485	Vitamin A 1500 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008466	245486	Vitamin A 2000 UNT Chewable Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008467	245487	vitamin A 250000 UNT/ML Injectable Suspension	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008468	246789	Vitamin A 50000 UNT Chewable Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008469	247322	Vitamin A 7500 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008470	248227	vitamin A 10000 UNT/ML Oral Suspension	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008491	248359	vitamin A 50000 UNT/ML Ophthalmic Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19008492	248716	Vitamin A 2000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008493	248776	Vitamin A 100000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008494	251764	Vitamin A 4000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008495	251766	Vitamin A 4500 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008496	259287	cholecalciferol 135 UNT / vitamin A 0.375 MG Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008498	282768	Vitamin A 25000 UNT / Vitamin D 1000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008499	283245	Vitamin A 25000 UNT / Vitamin D 400 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008521	313599	ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / vitamin A 0.45 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19008522	313635	ascorbic acid 500 MG / vitamin A 5000 UNT / vitamin E 50 UNT / zinc sulfate 80 MG Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008523	313638	vitamin A 10000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008525	313641	vitamin A 15000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008526	313643	vitamin A 25000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19008527	313644	Vitamin A 25000 UNT / Vitamin D 1000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008528	313646	vitamin A 3330 UNT/ML Topical Lotion	Clinical Drug	Drug	RxNorm	Valid	Standard
19008529	313647	vitamin A 3.33 UNT/MG / vitamin E 0.05 UNT/MG Topical Lotion	Clinical Drug	Drug	RxNorm	Valid	Standard
19008530	313649	vitamin A 400 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008562	313651	vitamin A 50000 UNT/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19008563	313652	vitamin A 2.4 MG Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008564	313653	vitamin A 15000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19008565	313654	vitamin A 25000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008566	313656	vitamin A 50000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008567	313657	vitamin A 50000 UNT Extended Release Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19008568	313659	Vitamin A 10000 UNT / Vitamin D 400 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008569	314276	Vitamin A 5000 UNT / Vitamin D 400 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008570	316884	vitamin A 1000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008601	316885	vitamin A 10000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008602	316886	vitamin A 1250 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008603	316888	vitamin A 25000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008604	316889	vitamin A 400 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008606	316891	vitamin A 50000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008607	316892	vitamin A 50000 UNT/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008608	317532	vitamin A 8000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008609	317671	vitamin A 5000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008641	333597	vitamin A 3330 UNT/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008642	333818	Vitamin A 50000 IU/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008644	335842	Vitamin A 3000 UNT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008645	335843	Vitamin A 4500 UNT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008646	335844	Vitamin A 7500 UNT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008647	335845	vitamin A 10000 UNT/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008648	335846	vitamin A 250000 UNT/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008649	335847	Vitamin A 1500 UNT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008671	336612	vitamin A 1500 UNT/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19008672	336861	Vitamin A 100000 UNT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008675	349777	vitamin A 2500 UNT	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008678	392949	vitamin A 10 UNT/MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008679	417255	vitamin A 0.75 UNT/MG Topical Ointment	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008680	417264	vitamin A 10 UNT/MG Topical Ointment	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008681	417266	vitamin A 0.4 UNT/MG Topical Ointment	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008682	417267	vitamin A 0.25 UNT/MG Topical Ointment	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19008683	452569	vitamin A 0.75 UNT/MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008685	452571	vitamin A 0.25 UNT/MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19008686	578343	ascorbic acid 60 MG / cholecalciferol 0.01 MG / sodium fluoride 1 MG / vitamin A 0.75 MG Chewable Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19008687	581296	cholecalciferol 270 UNT / vitamin A 0.75 MG Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19009462	282767	Vitamin A 10000 UNT / Vitamin D 400 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009463	283131	Vitamin A 1250 UNT / Vitamin D 133 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009464	283141	Vitamin A 5000 UNT / Vitamin D 10000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009467	313648	Vitamin A 4000 UNT / Vitamin D 400 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009468	313661	Vitamin A 4000 UNT / Vitamin D 200 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009633	107254	Vitamin A 4500 UNT / Vitamin D 450 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009634	107255	Vitamin A 6000 UNT / Vitamin D 1000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009635	107258	Ascorbic Acid 66.7 MG/ML / Vitamin A 2333 UNT/ML / Vitamin D 1000 UNT/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19009636	107259	Ascorbic Acid 107 MG/ML / Vitamin A 5357 UNT/ML / Vitamin D 1428 UNT/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19012303	150686	Vitamin A 50000 UNT Oral Tablet [Ro-A-Vit]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19012304	150687	Vitamin A 300000 UNT/ML Injectable Solution [Ro-A-Vit]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19012616	150920	Vitamin A 50000 UNT/ML Injectable Solution [Ro-A-Vit]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19037260	252161	Beta Carotene 90 MG / Vitamin A 50000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19040423	209059	Vitamin A 25000 UNT Oral Capsule [A-25]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19040424	209060	Vitamin A 25000 UNT Oral Capsule [A/Fish Oil]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19040425	209061	vitamin A 25000 UNT Oral Capsule [Aquasol A]	Branded Drug	Drug	RxNorm	Valid	Standard
19040426	209062	vitamin A 50000 UNT Oral Capsule [Aquasol A]	Branded Drug	Drug	RxNorm	Valid	Standard
19043791	569693	vitamin A 25000 UNT [Aquasol A]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19043792	569694	vitamin A 50000 UNT [Aquasol A]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19043793	571448	vitamin A 50000 UNT/ML [Aquasol A]	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19045526	210972	2 ML vitamin A 50000 UNT/ML Injection [Aquasol A]	Quant Branded Drug	Drug	RxNorm	Valid	Standard
19052084	569691	Vitamin A 25000 UNT [A-25]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19052171	569692	Vitamin A 25000 UNT [A/Fish Oil]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19066192	259192	calcium carbonate 200 MG / vitamin A 725 UNT / vitamin D 200 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19066949	259870	ergocalciferol 135 UNT / vitamin A 1250 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19069488	282754	ascorbic acid 60 MG / vitamin A 5000 UNT / vitamin E 30 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19070545	283246	Vitamin A 62.5 IU/ML / Vitamin D 70 IU/ML Oral Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19070603	283284	ascorbic acid 250 MG / vitamin A 5000 UNT / vitamin E 200 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19070990	283610	Vitamin A 8000 UNT / Vitamin D 400 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19073582	308374	ascorbic acid 250 MG / niacinamide 25 MG / vitamin A 25000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19074154	308705	beta carotene 1000 UNT / vitamin A 10000 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19074497	308880	Calcium Citrate 500 MG / Vitamin A 500 UNT / Vitamin D 200 UNT Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19079839	313639	vitamin A 1000 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19079840	313640	Vitamin A 1250 UNT / Vitamin D 130 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19079861	313642	vitamin A 200 UNT Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19079862	313650	2 ML vitamin A 50000 UNT/ML Injection	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
19079863	313655	vitamin A 300000 UNT Oral Suspension	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19082033	316887	vitamin A 200 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19082034	316890	vitamin A 4000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19084424	797652	ascorbic acid 80 MG / biotin 0.03 MG / calcium carbonate 200 MG / cupric oxide 3 MG / ferrous fumarate 60 MG / folic acid 1 MG / magnesium oxide 100 MG / niacinamide 17 MG / pantothenic acid 7 MG / riboflavin 1.6 MG / thiamine 1.5 MG / vitamin A 4000 U...	Branded Drug Comp	Drug	RxNorm	Valid	Standard
19085139	330409	vitamin A 15000 UNT	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
