Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
920755	251641	Betamethasone 1 MG/ML / Vitamin B 12 0.667 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
920912	429226	Betamethasone 0.3 MG / Diclofenac 50 MG / Vitamin B 12 5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1308840	246315	Vitamin B 12 5 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1308841	246787	Thiamine 100 MG/ML / Vitamin B 12 5 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1308865	247933	Vitamin B 12 0.001 MG/MG Crystals	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1309198	332613	Vitamin B 12 0.667 MG/ML	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
1309303	351527	Vitamin B 12 1 MG/ML Injectable Solution [Cobolin-M]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309304	351528	Vitamin B 12 1 MG/ML Injectable Solution [Depo-Cobolin]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309309	359683	Ascorbic Acid 250 MG / Folic Acid 1 MG / Iron 100 MG / Vitamin B 12 0.025 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1309335	544634	Vitamin B 12 0.1 MG/ML Injectable Solution [Cobal]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309336	544654	Thiamine 100 MG/ML / Vitamin B 12 1 MG/ML Injectable Solution [Tia Doce]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309337	544658	Vitamin B 12 1 MG/ML Injectable Solution [Berdoz]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309338	544684	Vitamin B 12 1 MG/ML Injectable Solution [Cybolin-12]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309339	544925	Vitamin B 12 1 MG/ML Injectable Solution [Nutri-Twelve]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1309341	597486	Vitamin B 12 5 MG/ML Nasal Spray	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
1309363	636371	vitamin B12 0.5 MG Sublingual Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
