Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
1594729	1923616	Vitamin K 1 Injection [Aquamephyton]	Branded Drug Form	Drug	RxNorm	Invalid	Non-standard
1594730	1923617	1 ML Vitamin K 1 10 MG/ML Injection [Aquamephyton]	Quant Branded Drug	Drug	RxNorm	Invalid	Non-standard
1594731	1923618	Vitamin K 1 10 MG/ML Injection [Aquamephyton]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
1594734	1923621	Vitamin K 1 2 MG/ML [Aquamephyton]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
1594735	1923622	0.5 ML Vitamin K 1 2 MG/ML Injection [Aquamephyton]	Quant Branded Drug	Drug	RxNorm	Invalid	Non-standard
1594736	1923623	Vitamin K 1 2 MG/ML Injection [Aquamephyton]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19001579	6728	vitamin K3	Ingredient	Drug	RxNorm	Valid	Standard
19010128	11258	vitamin K	Ingredient	Drug	RxNorm	Valid	Standard
19010129	198899	vitamin K 0.1 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19010130	246721	vitamin K 5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19010151	246723	vitamin K 5 MG/ML Injectable Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19010152	331285	vitamin K 5 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19010153	331287	vitamin K 5 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19010154	333459	vitamin K 0.1 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19022023	199558	vitamin K 10 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19022045	568562	Vitamin K 1 2 MG/ML [Konakion]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19036008	284445	Calcium Carbonate 500 MG / Cholecalciferol 100 UNT / Vitamin K 1 0.04 MG Chewable Bar	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19036598	207828	Vitamin K 1 2 MG/ML Injectable Solution [Aquamephyton]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19036599	207829	Vitamin K 1 2 MG/ML Injectable Solution [Konakion]	Branded Drug	Drug	RxNorm	Invalid	Non-standard
19044727	8308	vitamin K1	Ingredient	Drug	RxNorm	Valid	Standard
19044755	312422	Vitamin K 1 0.1 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19044760	317465	Vitamin K 1 0.1 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19066634	259547	Calcium Carbonate 500 MG / Vitamin D2 100 MG / Vitamin K 1 40 MG Chewable Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19087213	331286	vitamin K 3 MG/ML	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19089038	568561	Vitamin K 1 2 MG/ML [Aquamephyton]	Branded Drug Comp	Drug	RxNorm	Invalid	Non-standard
19089795	333460	vitamin K 10 MG	Clinical Drug Comp	Drug	RxNorm	Valid	Standard
19092647	336331	Vitamin K 1 40 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19106287	42781	vitamin K2	Ingredient	Drug	RxNorm	Valid	Standard
19121188	577045	Calcium Carbonate 500 MG / Cholecalciferol 100 UNT / Vitamin K 1 40 MG Chewable Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19126387	705189	Calcium Carbonate 500 MG / Cholecalciferol 200 UNT / Vitamin K 1 0.04 MG Chewable Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19126732	707382	Vitamin K 0.4 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19126733	707384	Calcium Carbonate 500 MG / Vitamin D 100 UNT / Vitamin K 0.4 MG Chewable Bar	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
19129076	756208	vitamin K 3 MG/ML Oral Solution	Clinical Drug	Drug	RxNorm	Valid	Standard
19133345	829755	calcium carbonate 1250 MG / cholecalciferol 200 UNT / vitamin K1 0.04 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19133346	829758	calcium carbonate 1250 MG / cholecalciferol 200 UNT / vitamin K1 0.04 MG Chewable Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19133347	829759	calcium carbonate 1250 MG / cholecalciferol 500 UNT / vitamin K1 0.04 MG Chewable Tablet	Clinical Drug	Drug	RxNorm	Valid	Standard
19135209	847004	vitamin K 0.1 MG Oral Capsule	Clinical Drug	Drug	RxNorm	Valid	Standard
19135612	849528	Vitamin K 0.5 MG	Clinical Drug Comp	Drug	RxNorm	Invalid	Non-standard
19135613	849530	Berberine 90 MG / Cholecalciferol 500 UNT / Hops extract 370 MG / Vitamin K 0.5 MG Oral Tablet	Clinical Drug	Drug	RxNorm	Invalid	Non-standard
35602744	1670192	1 ML vitamin K1 10 MG/ML Injection	Quant Clinical Drug	Drug	RxNorm	Valid	Standard
